# Time          4.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer           Al(OH)2+         AlO2-            AlOH++           CaCl+            CaCl2(aq)        HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          MgCl+            NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            CaCO3(aq)        CaHCO3+          MgCO3(aq)        MgHCO3+          NaCO3-           NaHCO3(aq)   
       5.0000E-03       4.9390E+00      -4.9206E+00      -4.8083E+00      -3.9211E+00      -3.7443E+00      -4.6990E+00      -5.9429E+00      -3.0969E+00      -6.3405E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -7.2013E+00      -9.5988E+00      -6.4403E+00      -7.5070E+00      -1.0485E+01      -6.1910E+00      -1.8946E+01      -8.1206E+00      -7.2445E+00      -1.0926E+01      -9.2246E+00      -7.1202E+00      -1.3494E+01      -6.9040E+00      -1.2419E+01      -1.2976E+01      -9.0324E+00      -1.1518E+01      -1.2101E+01      -8.9689E+00      -1.2624E+01      -9.1539E+00      -1.4184E+01      -9.1714E+00
       1.5000E-02       5.0296E+00      -5.0112E+00      -4.7964E+00      -3.9210E+00      -3.7434E+00      -4.6990E+00      -5.6023E+00      -3.0966E+00      -6.1743E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -6.8539E+00      -9.0702E+00      -6.1835E+00      -7.5061E+00      -1.0484E+01      -6.0885E+00      -1.8424E+01      -7.6826E+00      -7.3351E+00      -1.0495E+01      -9.2246E+00      -7.1201E+00      -1.2965E+01      -6.9038E+00      -1.1987E+01      -1.2885E+01      -8.9418E+00      -1.1325E+01      -1.1907E+01      -8.8657E+00      -1.2431E+01      -9.0514E+00      -1.3991E+01      -9.0687E+00
       2.5000E-02       5.1012E+00      -5.0828E+00      -4.7853E+00      -3.9209E+00      -3.7426E+00      -4.6990E+00      -5.4499E+00      -3.0964E+00      -6.1485E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -6.6849E+00      -8.7580E+00      -6.0861E+00      -7.5053E+00      -1.0483E+01      -6.0058E+00      -1.8129E+01      -7.4421E+00      -7.4068E+00      -1.0271E+01      -9.2247E+00      -7.1201E+00      -1.2653E+01      -6.9036E+00      -1.1763E+01      -1.2814E+01      -8.8702E+00      -1.1171E+01      -1.1752E+01      -8.7822E+00      -1.2276E+01      -8.9686E+00      -1.3836E+01      -8.9858E+00
       3.5000E-02       5.1495E+00      -5.1311E+00      -4.7750E+00      -3.9208E+00      -3.7418E+00      -4.6990E+00      -5.3661E+00      -3.0962E+00      -6.1883E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.6281E+00      -8.6046E+00      -6.0776E+00      -7.5045E+00      -1.0483E+01      -5.9472E+00      -1.7948E+01      -7.3370E+00      -7.4550E+00      -1.0139E+01      -9.2247E+00      -7.1200E+00      -1.2499E+01      -6.9034E+00      -1.1631E+01      -1.2765E+01      -8.8219E+00      -1.1064E+01      -1.1645E+01      -8.7228E+00      -1.2169E+01      -8.9099E+00      -1.3729E+01      -8.9270E+00
       4.5000E-02       5.1830E+00      -5.1646E+00      -4.7654E+00      -3.9207E+00      -3.7411E+00      -4.6990E+00      -5.3113E+00      -3.0960E+00      -6.2641E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.6370E+00      -8.5465E+00      -6.1200E+00      -7.5038E+00      -1.0482E+01      -5.9040E+00      -1.7827E+01      -7.3124E+00      -7.4885E+00      -1.0051E+01      -9.2247E+00      -7.1198E+00      -1.2441E+01      -6.9032E+00      -1.1542E+01      -1.2731E+01      -8.7884E+00      -1.0987E+01      -1.1567E+01      -8.6788E+00      -1.2092E+01      -8.8666E+00      -1.3652E+01      -8.8837E+00
       5.5000E-02       5.2118E+00      -5.1934E+00      -4.7564E+00      -3.9205E+00      -3.7403E+00      -4.6990E+00      -5.2681E+00      -3.0958E+00      -6.3642E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.6795E+00      -8.5315E+00      -6.1913E+00      -7.5030E+00      -1.0481E+01      -5.8663E+00      -1.7726E+01      -7.3261E+00      -7.5173E+00      -9.9787E+00      -9.2247E+00      -7.1197E+00      -1.2426E+01      -6.9030E+00      -1.1470E+01      -1.2702E+01      -8.7596E+00      -1.0921E+01      -1.1500E+01      -8.6403E+00      -1.2026E+01      -8.8287E+00      -1.3585E+01      -8.8457E+00
       6.5000E-02       5.2420E+00      -5.2235E+00      -4.7480E+00      -3.9203E+00      -3.7396E+00      -4.6990E+00      -5.2292E+00      -3.0956E+00      -6.4848E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.7397E+00      -8.5314E+00      -6.2817E+00      -7.5023E+00      -1.0480E+01      -5.8277E+00      -1.7626E+01      -7.3562E+00      -7.5475E+00      -9.9096E+00      -9.2247E+00      -7.1195E+00      -1.2425E+01      -6.9028E+00      -1.1401E+01      -1.2672E+01      -8.7294E+00      -1.0852E+01      -1.1431E+01      -8.6011E+00      -1.1957E+01      -8.7900E+00      -1.3517E+01      -8.8070E+00
       7.5000E-02       5.2767E+00      -5.2583E+00      -4.7402E+00      -3.9201E+00      -3.7389E+00      -4.6990E+00      -5.1921E+00      -3.0954E+00      -6.6256E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.8110E+00      -8.5332E+00      -6.3878E+00      -7.5017E+00      -1.0480E+01      -5.7852E+00      -1.7520E+01      -7.3927E+00      -7.5822E+00      -9.8378E+00      -9.2247E+00      -7.1192E+00      -1.2427E+01      -6.9026E+00      -1.1329E+01      -1.2637E+01      -8.6947E+00      -1.0775E+01      -1.1353E+01      -8.5579E+00      -1.1879E+01      -8.7472E+00      -1.3439E+01      -8.7642E+00
       8.5000E-02       5.3178E+00      -5.2994E+00      -4.7330E+00      -3.9198E+00      -3.7383E+00      -4.6990E+00      -5.1559E+00      -3.0952E+00      -6.7879E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.8912E+00      -8.5312E+00      -6.5090E+00      -7.5010E+00      -1.0479E+01      -5.7369E+00      -1.7402E+01      -7.4318E+00      -7.6233E+00      -9.7606E+00      -9.2247E+00      -7.1189E+00      -1.2425E+01      -6.9024E+00      -1.1251E+01      -1.2596E+01      -8.6536E+00      -1.0686E+01      -1.1263E+01      -8.5090E+00      -1.1790E+01      -8.6986E+00      -1.3350E+01      -8.7157E+00
       9.5000E-02       5.3661E+00      -5.3477E+00      -4.7263E+00      -3.9195E+00      -3.7377E+00      -4.6990E+00      -5.1205E+00      -3.0950E+00      -6.9729E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.9797E+00      -8.5231E+00      -6.6457E+00      -7.5004E+00      -1.0479E+01      -5.6819E+00      -1.7270E+01      -7.4720E+00      -7.6716E+00      -9.6769E+00      -9.2247E+00      -7.1186E+00      -1.2417E+01      -6.9022E+00      -1.1167E+01      -1.2547E+01      -8.6053E+00      -1.0582E+01      -1.1159E+01      -8.4534E+00      -1.1686E+01      -8.6433E+00      -1.3246E+01      -8.6606E+00
