# Time          3.5000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer           Al(OH)2+         AlO2-            AlOH++           CaCl+            CaCl2(aq)        HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          MgCl+            NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            CaCO3(aq)        CaHCO3+          MgCO3(aq)        MgHCO3+          NaCO3-           NaHCO3(aq)   
       5.0000E-03       4.9391E+00      -4.9207E+00      -4.8083E+00      -3.9211E+00      -3.7443E+00      -4.6990E+00      -5.9422E+00      -3.0969E+00      -6.3402E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -7.2008E+00      -9.5981E+00      -6.4399E+00      -7.5070E+00      -1.0485E+01      -6.1908E+00      -1.8945E+01      -8.1200E+00      -7.2447E+00      -1.0926E+01      -9.2246E+00      -7.1202E+00      -1.3493E+01      -6.9040E+00      -1.2418E+01      -1.2976E+01      -9.0323E+00      -1.1518E+01      -1.2101E+01      -8.9688E+00      -1.2623E+01      -9.1538E+00      -1.4184E+01      -9.1713E+00
       1.5000E-02       5.0299E+00      -5.0115E+00      -4.7964E+00      -3.9210E+00      -3.7434E+00      -4.6990E+00      -5.6016E+00      -3.0966E+00      -6.1742E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -6.8533E+00      -9.0691E+00      -6.1832E+00      -7.5061E+00      -1.0484E+01      -6.0882E+00      -1.8423E+01      -7.6818E+00      -7.3354E+00      -1.0494E+01      -9.2246E+00      -7.1201E+00      -1.2964E+01      -6.9038E+00      -1.1986E+01      -1.2885E+01      -8.9415E+00      -1.1325E+01      -1.1907E+01      -8.8654E+00      -1.2430E+01      -9.0511E+00      -1.3990E+01      -9.0685E+00
       2.5000E-02       5.1016E+00      -5.0832E+00      -4.7853E+00      -3.9209E+00      -3.7426E+00      -4.6990E+00      -5.4492E+00      -3.0964E+00      -6.1487E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -6.6845E+00      -8.7569E+00      -6.0861E+00      -7.5053E+00      -1.0483E+01      -6.0054E+00      -1.8127E+01      -7.4413E+00      -7.4071E+00      -1.0270E+01      -9.2247E+00      -7.1200E+00      -1.2652E+01      -6.9036E+00      -1.1762E+01      -1.2813E+01      -8.8698E+00      -1.1170E+01      -1.1752E+01      -8.7818E+00      -1.2276E+01      -8.9683E+00      -1.3835E+01      -8.9855E+00
       3.5000E-02       5.1499E+00      -5.1315E+00      -4.7750E+00      -3.9208E+00      -3.7418E+00      -4.6990E+00      -5.3655E+00      -3.0962E+00      -6.1889E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.6280E+00      -8.6038E+00      -6.0779E+00      -7.5046E+00      -1.0483E+01      -5.9468E+00      -1.7947E+01      -7.3365E+00      -7.4554E+00      -1.0138E+01      -9.2247E+00      -7.1199E+00      -1.2498E+01      -6.9034E+00      -1.1630E+01      -1.2765E+01      -8.8215E+00      -1.1063E+01      -1.1644E+01      -8.7224E+00      -1.2168E+01      -8.9095E+00      -1.3728E+01      -8.9267E+00
       4.5000E-02       5.1834E+00      -5.1650E+00      -4.7654E+00      -3.9207E+00      -3.7411E+00      -4.6990E+00      -5.3107E+00      -3.0960E+00      -6.2652E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.6372E+00      -8.5459E+00      -6.1207E+00      -7.5038E+00      -1.0482E+01      -5.9036E+00      -1.7825E+01      -7.3122E+00      -7.4890E+00      -1.0050E+01      -9.2247E+00      -7.1198E+00      -1.2440E+01      -6.9032E+00      -1.1541E+01      -1.2731E+01      -8.7879E+00      -1.0987E+01      -1.1566E+01      -8.6785E+00      -1.2092E+01      -8.8662E+00      -1.3651E+01      -8.8833E+00
       5.5000E-02       5.2123E+00      -5.1939E+00      -4.7564E+00      -3.9205E+00      -3.7404E+00      -4.6990E+00      -5.2674E+00      -3.0958E+00      -6.3658E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.6801E+00      -8.5310E+00      -6.1924E+00      -7.5031E+00      -1.0481E+01      -5.8657E+00      -1.7724E+01      -7.3261E+00      -7.5178E+00      -9.9775E+00      -9.2247E+00      -7.1196E+00      -1.2425E+01      -6.9030E+00      -1.1469E+01      -1.2702E+01      -8.7591E+00      -1.0920E+01      -1.1499E+01      -8.6399E+00      -1.2025E+01      -8.8281E+00      -1.3584E+01      -8.8452E+00
       6.5000E-02       5.2426E+00      -5.2242E+00      -4.7480E+00      -3.9202E+00      -3.7397E+00      -4.6990E+00      -5.2284E+00      -3.0956E+00      -6.4869E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.7406E+00      -8.5309E+00      -6.2832E+00      -7.5024E+00      -1.0481E+01      -5.8271E+00      -1.7624E+01      -7.3563E+00      -7.5482E+00      -9.9083E+00      -9.2247E+00      -7.1194E+00      -1.2425E+01      -6.9028E+00      -1.1399E+01      -1.2671E+01      -8.7288E+00      -1.0851E+01      -1.1429E+01      -8.6005E+00      -1.1955E+01      -8.7892E+00      -1.3515E+01      -8.8063E+00
       7.5000E-02       5.2776E+00      -5.2592E+00      -4.7402E+00      -3.9200E+00      -3.7390E+00      -4.6990E+00      -5.1913E+00      -3.0954E+00      -6.6285E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.8122E+00      -8.5326E+00      -6.3898E+00      -7.5017E+00      -1.0480E+01      -5.7843E+00      -1.7517E+01      -7.3930E+00      -7.5831E+00      -9.8361E+00      -9.2247E+00      -7.1191E+00      -1.2426E+01      -6.9026E+00      -1.1327E+01      -1.2636E+01      -8.6938E+00      -1.0773E+01      -1.1351E+01      -8.5571E+00      -1.1877E+01      -8.7462E+00      -1.3437E+01      -8.7634E+00
       8.5000E-02       5.3189E+00      -5.3005E+00      -4.7330E+00      -3.9196E+00      -3.7384E+00      -4.6990E+00      -5.1551E+00      -3.0952E+00      -6.7917E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.8928E+00      -8.5305E+00      -6.5116E+00      -7.5011E+00      -1.0479E+01      -5.7358E+00      -1.7399E+01      -7.4322E+00      -7.6244E+00      -9.7586E+00      -9.2247E+00      -7.1188E+00      -1.2424E+01      -6.9024E+00      -1.1249E+01      -1.2595E+01      -8.6525E+00      -1.0683E+01      -1.1260E+01      -8.5079E+00      -1.1787E+01      -8.6973E+00      -1.3347E+01      -8.7146E+00
       9.5000E-02       5.3675E+00      -5.3491E+00      -4.7263E+00      -3.9193E+00      -3.7378E+00      -4.6990E+00      -5.1196E+00      -3.0950E+00      -6.9777E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.9816E+00      -8.5221E+00      -6.6491E+00      -7.5005E+00      -1.0479E+01      -5.6805E+00      -1.7266E+01      -7.4725E+00      -7.6730E+00      -9.6745E+00      -9.2247E+00      -7.1184E+00      -1.2416E+01      -6.9022E+00      -1.1165E+01      -1.2546E+01      -8.6039E+00      -1.0579E+01      -1.1156E+01      -8.4520E+00      -1.1683E+01      -8.6417E+00      -1.3243E+01      -8.6591E+00
