# Time          4.0000E+01
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       5.0000E-03       3.9214E-12       2.9584E-13       7.9839E-11       3.9562E-11
       1.5000E-02       3.9207E-12       2.9565E-13       7.9888E-11       3.9514E-11
       2.5000E-02       3.9200E-12       2.9545E-13       7.9933E-11       3.9468E-11
       3.5000E-02       3.9193E-12       2.9526E-13       7.9976E-11       3.9426E-11
       4.5000E-02       3.9187E-12       2.9508E-13       8.0015E-11       3.9388E-11
       5.5000E-02       3.9181E-12       2.9489E-13       8.0050E-11       3.9354E-11
       6.5000E-02       3.9175E-12       2.9471E-13       8.0081E-11       3.9323E-11
       7.5000E-02       3.9170E-12       2.9453E-13       8.0107E-11       3.9297E-11
       8.5000E-02       3.9165E-12       2.9435E-13       8.0130E-11       3.9275E-11
       9.5000E-02       3.9160E-12       2.9417E-13       8.0148E-11       3.9257E-11
       1.0500E-01       3.9155E-12       2.9399E-13       8.0163E-11       3.9243E-11
       1.1500E-01       3.9150E-12       2.9382E-13       8.0174E-11       3.9232E-11
       1.2500E-01       3.9146E-12       2.9365E-13       8.0183E-11       3.9223E-11
       1.3500E-01       3.9142E-12       2.9348E-13       8.0190E-11       3.9217E-11
       1.4500E-01       3.9138E-12       2.9331E-13       8.0194E-11       3.9212E-11
       1.5500E-01       3.9134E-12       2.9315E-13       8.0198E-11       3.9209E-11
       1.6500E-01       3.9130E-12       2.9299E-13       8.0200E-11       3.9207E-11
       1.7500E-01       3.9127E-12       2.9283E-13       8.0201E-11       3.9206E-11
       1.8500E-01       3.9123E-12       2.9268E-13       8.0202E-11       3.9206E-11
       1.9500E-01       3.9120E-12       2.9253E-13       8.0202E-11       3.9206E-11
       2.0500E-01       3.9117E-12       2.9239E-13       8.0201E-11       3.9207E-11
       2.1500E-01       3.9115E-12       2.9226E-13       8.0198E-11       3.9210E-11
       2.2500E-01       3.9113E-12       2.9216E-13       8.0194E-11       3.9214E-11
       2.3500E-01       3.9111E-12       2.9207E-13       8.0187E-11       3.9221E-11
       2.4500E-01       3.9111E-12       2.9203E-13       8.0176E-11       3.9233E-11
       2.5500E-01       1.8432E-06       1.3763E-07       3.7777E-05       1.8498E-05
       2.6500E-01       1.8433E-06       1.3763E-07       3.7768E-05       1.8506E-05
       2.7500E-01       1.8433E-06       1.3763E-07       3.7760E-05       1.8514E-05
       2.8500E-01       1.8434E-06       1.3764E-07       3.7753E-05       1.8522E-05
       2.9500E-01       1.8434E-06       1.3764E-07       3.7745E-05       1.8529E-05
       3.0500E-01       1.8434E-06       1.3764E-07       3.7738E-05       1.8536E-05
       3.1500E-01       1.8435E-06       1.3764E-07       3.7731E-05       1.8543E-05
       3.2500E-01       1.8435E-06       1.3765E-07       3.7725E-05       1.8550E-05
       3.3500E-01       1.8435E-06       1.3765E-07       3.7719E-05       1.8556E-05
       3.4500E-01       1.8436E-06       1.3765E-07       3.7713E-05       1.8561E-05
       3.5500E-01       1.8436E-06       1.3765E-07       3.7708E-05       1.8567E-05
       3.6500E-01       1.8436E-06       1.3765E-07       3.7703E-05       1.8572E-05
       3.7500E-01       1.8436E-06       1.3766E-07       3.7698E-05       1.8576E-05
       3.8500E-01       1.8437E-06       1.3766E-07       3.7694E-05       1.8580E-05
       3.9500E-01       1.8437E-06       1.3766E-07       3.7691E-05       1.8584E-05
