# Time          1.0000E+00
# Units: Bars
    Distance        CO2(g)          
       5.0000E-03       4.5669E-04
       1.5000E-02       4.6938E-04
       2.5000E-02       4.8154E-04
       3.5000E-02       4.9317E-04
       4.5000E-02       5.0427E-04
       5.5000E-02       5.1485E-04
       6.5000E-02       5.2490E-04
       7.5000E-02       5.3442E-04
       8.5000E-02       5.4341E-04
       9.5000E-02       5.5188E-04
       1.0500E-01       5.5982E-04
       1.1500E-01       5.6723E-04
       1.2500E-01       5.7411E-04
       1.3500E-01       5.8046E-04
       1.4500E-01       5.8629E-04
       1.5500E-01       5.9159E-04
       1.6500E-01       5.9637E-04
       1.7500E-01       6.0061E-04
       1.8500E-01       6.0433E-04
       1.9500E-01       6.0753E-04
       2.0500E-01       6.1020E-04
       2.1500E-01       6.1234E-04
       2.2500E-01       6.1395E-04
       2.3500E-01       6.1504E-04
       2.4500E-01       6.1561E-04
       2.5500E-01       6.1564E-04
       2.6500E-01       6.1568E-04
       2.7500E-01       6.1572E-04
       2.8500E-01       6.1575E-04
       2.9500E-01       6.1579E-04
       3.0500E-01       6.1582E-04
       3.1500E-01       6.1586E-04
       3.2500E-01       6.1590E-04
       3.3500E-01       6.1593E-04
       3.4500E-01       6.1597E-04
       3.5500E-01       6.1600E-04
       3.6500E-01       6.1604E-04
       3.7500E-01       6.1608E-04
       3.8500E-01       6.1611E-04
       3.9500E-01       6.1615E-04
       4.0500E-01       6.1618E-04
       4.1500E-01       6.1622E-04
       4.2500E-01       6.1625E-04
       4.3500E-01       6.1629E-04
       4.4500E-01       6.1633E-04
       4.5500E-01       6.1636E-04
       4.6500E-01       6.1640E-04
       4.7500E-01       6.1643E-04
       4.8500E-01       6.1647E-04
       4.9500E-01       6.1650E-04
       5.0500E-01       6.1654E-04
       5.1500E-01       6.1657E-04
       5.2500E-01       6.1661E-04
       5.3500E-01       6.1664E-04
       5.4500E-01       6.1668E-04
       5.5500E-01       6.1671E-04
       5.6500E-01       6.1675E-04
       5.7500E-01       6.1678E-04
       5.8500E-01       6.1681E-04
       5.9500E-01       6.1685E-04
       6.0500E-01       6.1688E-04
       6.1500E-01       6.1692E-04
       6.2500E-01       6.1695E-04
       6.3500E-01       6.1698E-04
       6.4500E-01       6.1702E-04
       6.5500E-01       6.1705E-04
