# Time          1.0000E+00
# Units: mol/m3
    Distance        CO2(g)          
       0.0000E+00       1.8154E-02
       5.0000E-03       1.8424E-02
       1.5000E-02       1.8936E-02
       2.5000E-02       1.9426E-02
       3.5000E-02       1.9895E-02
       4.5000E-02       2.0343E-02
       5.5000E-02       2.0770E-02
       6.5000E-02       2.1175E-02
       7.5000E-02       2.1559E-02
       8.5000E-02       2.1922E-02
       9.5000E-02       2.2264E-02
       1.0500E-01       2.2584E-02
       1.1500E-01       2.2883E-02
       1.2500E-01       2.3161E-02
       1.3500E-01       2.3417E-02
       1.4500E-01       2.3652E-02
       1.5500E-01       2.3866E-02
       1.6500E-01       2.4058E-02
       1.7500E-01       2.4230E-02
       1.8500E-01       2.4380E-02
       1.9500E-01       2.4509E-02
       2.0500E-01       2.4616E-02
       2.1500E-01       2.4703E-02
       2.2500E-01       2.4768E-02
       2.3500E-01       2.4812E-02
       2.4500E-01       2.4835E-02
       2.5500E-01       2.4836E-02
       2.6500E-01       2.4838E-02
       2.7500E-01       2.4839E-02
       2.8500E-01       2.4841E-02
       2.9500E-01       2.4842E-02
       3.0500E-01       2.4843E-02
       3.1500E-01       2.4845E-02
       3.2500E-01       2.4846E-02
       3.3500E-01       2.4848E-02
       3.4500E-01       2.4849E-02
       3.5500E-01       2.4851E-02
       3.6500E-01       2.4852E-02
       3.7500E-01       2.4854E-02
       3.8500E-01       2.4855E-02
       3.9500E-01       2.4856E-02
       4.0500E-01       2.4858E-02
       4.1500E-01       2.4859E-02
       4.2500E-01       2.4861E-02
       4.3500E-01       2.4862E-02
       4.4500E-01       2.4864E-02
       4.5500E-01       2.4865E-02
       4.6500E-01       2.4867E-02
       4.7500E-01       2.4868E-02
       4.8500E-01       2.4869E-02
       4.9500E-01       2.4871E-02
       5.0500E-01       2.4872E-02
       5.1500E-01       2.4874E-02
       5.2500E-01       2.4875E-02
       5.3500E-01       2.4876E-02
       5.4500E-01       2.4878E-02
       5.5500E-01       2.4879E-02
       5.6500E-01       2.4881E-02
       5.7500E-01       2.4882E-02
       5.8500E-01       2.4883E-02
       5.9500E-01       2.4885E-02
       6.0500E-01       2.4886E-02
       6.1500E-01       2.4888E-02
       6.2500E-01       2.4889E-02
       6.3500E-01       2.4890E-02
       6.4500E-01       2.4892E-02
       6.5500E-01       2.4893E-02
       6.6500E-01       2.4894E-02
       6.7500E-01       2.4896E-02
       6.8500E-01       2.4897E-02
       6.9500E-01       2.4898E-02
       7.0500E-01       2.4900E-02
       7.1500E-01       2.4901E-02
       7.2500E-01       2.4902E-02
       7.3500E-01       2.4904E-02
       7.4500E-01       2.4905E-02
       7.5500E-01       2.4906E-02
       7.6500E-01       2.4908E-02
       7.7500E-01       2.4909E-02
       7.8500E-01       2.4910E-02
       7.9500E-01       2.4912E-02
       8.0500E-01       2.4913E-02
       8.1500E-01       2.4914E-02
       8.2500E-01       2.4915E-02
       8.3500E-01       2.4917E-02
       8.4500E-01       2.4918E-02
       8.5500E-01       2.4919E-02
       8.6500E-01       2.4921E-02
       8.7500E-01       2.4922E-02
       8.8500E-01       2.4923E-02
       8.9500E-01       2.4924E-02
       9.0500E-01       2.4926E-02
       9.1500E-01       2.4927E-02
       9.2500E-01       2.4928E-02
       9.3500E-01       2.4929E-02
       9.4500E-01       2.4931E-02
       9.5500E-01       2.4932E-02
       9.6500E-01       2.4933E-02
       9.7500E-01       2.4934E-02
       9.8500E-01       2.4936E-02
       9.9500E-01       2.4937E-02
       1.0050E+00       2.4938E-02
       1.0150E+00       2.4939E-02
       1.0250E+00       2.4940E-02
