# Time          5.0000E+00
    Distance         pH
  5.0000E-03    4.9398E+00
  1.5000E-02    5.0315E+00
  2.5000E-02    5.1036E+00
  3.5000E-02    5.1521E+00
  4.5000E-02    5.1860E+00
  5.5000E-02    5.2154E+00
  6.5000E-02    5.2467E+00
  7.5000E-02    5.2829E+00
  8.5000E-02    5.3258E+00
  9.5000E-02    5.3763E+00
  1.0500E-01    5.4345E+00
  1.1500E-01    5.4991E+00
  1.2500E-01    5.5678E+00
  1.3500E-01    5.6376E+00
  1.4500E-01    5.7055E+00
  1.5500E-01    5.7694E+00
  1.6500E-01    5.8282E+00
  1.7500E-01    5.8816E+00
  1.8500E-01    5.9296E+00
  1.9500E-01    5.9723E+00
  2.0500E-01    6.0098E+00
  2.1500E-01    6.0419E+00
  2.2500E-01    6.0683E+00
  2.3500E-01    6.0880E+00
  2.4500E-01    6.0994E+00
  2.5500E-01    6.0992E+00
  2.6500E-01    6.0992E+00
  2.7500E-01    6.0992E+00
  2.8500E-01    6.0992E+00
  2.9500E-01    6.0992E+00
  3.0500E-01    6.0992E+00
  3.1500E-01    6.0992E+00
  3.2500E-01    6.0992E+00
  3.3500E-01    6.0992E+00
  3.4500E-01    6.0992E+00
  3.5500E-01    6.0992E+00
  3.6500E-01    6.0992E+00
  3.7500E-01    6.0992E+00
  3.8500E-01    6.0992E+00
  3.9500E-01    6.0992E+00
  4.0500E-01    6.0992E+00
  4.1500E-01    6.0992E+00
  4.2500E-01    6.0992E+00
  4.3500E-01    6.0992E+00
  4.4500E-01    6.0992E+00
  4.5500E-01    6.0992E+00
  4.6500E-01    6.0992E+00
  4.7500E-01    6.0992E+00
  4.8500E-01    6.0992E+00
  4.9500E-01    6.0992E+00
  5.0500E-01    6.0992E+00
  5.1500E-01    6.0992E+00
  5.2500E-01    6.0992E+00
  5.3500E-01    6.0992E+00
  5.4500E-01    6.0992E+00
  5.5500E-01    6.0992E+00
  5.6500E-01    6.0992E+00
  5.7500E-01    6.0991E+00
  5.8500E-01    6.0991E+00
  5.9500E-01    6.0991E+00
  6.0500E-01    6.0991E+00
  6.1500E-01    6.0991E+00
  6.2500E-01    6.0991E+00
  6.3500E-01    6.0991E+00
  6.4500E-01    6.0991E+00
  6.5500E-01    6.0991E+00
  6.6500E-01    6.0990E+00
  6.7500E-01    6.0990E+00
  6.8500E-01    6.0990E+00
  6.9500E-01    6.0990E+00
  7.0500E-01    6.0990E+00
  7.1500E-01    6.0989E+00
  7.2500E-01    6.0989E+00
  7.3500E-01    6.0989E+00
  7.4500E-01    6.0989E+00
  7.5500E-01    6.0988E+00
  7.6500E-01    6.0988E+00
  7.7500E-01    6.0987E+00
  7.8500E-01    6.0987E+00
  7.9500E-01    6.0987E+00
  8.0500E-01    6.0986E+00
  8.1500E-01    6.0985E+00
  8.2500E-01    6.0985E+00
  8.3500E-01    6.0984E+00
  8.4500E-01    6.0983E+00
  8.5500E-01    6.0983E+00
  8.6500E-01    6.0982E+00
  8.7500E-01    6.0981E+00
  8.8500E-01    6.0980E+00
  8.9500E-01    6.0979E+00
  9.0500E-01    6.0978E+00
  9.1500E-01    6.0977E+00
  9.2500E-01    6.0975E+00
  9.3500E-01    6.0974E+00
  9.4500E-01    6.0973E+00
  9.5500E-01    6.0971E+00
  9.6500E-01    6.0969E+00
  9.7500E-01    6.0968E+00
  9.8500E-01    6.0966E+00
  9.9500E-01    6.0964E+00
  1.0050E+00    6.0962E+00
  1.0150E+00    6.0960E+00
  1.0250E+00    6.0957E+00
  1.0350E+00    6.0955E+00
  1.0450E+00    6.0952E+00
  1.0550E+00    6.0949E+00
  1.0650E+00    6.0946E+00
  1.0750E+00    6.0943E+00
  1.0850E+00    6.0940E+00
  1.0950E+00    6.0936E+00
  1.1050E+00    6.0933E+00
  1.1150E+00    6.0929E+00
  1.1250E+00    6.0925E+00
  1.1350E+00    6.0921E+00
  1.1450E+00    6.0916E+00
  1.1550E+00    6.0912E+00
  1.1650E+00    6.0907E+00
  1.1750E+00    6.0902E+00
  1.1850E+00    6.0896E+00
