# Time          2.5000E+01
# Units: Mol/m**3 Porous Medium/s
    Distance           An50Ab50AS       Kaolinite        CO2_pump     
       5.0000E-03      -4.8717E-10      -6.6397E-11      -1.7485E-07
       1.5000E-02      -4.8717E-10      -4.5575E-11      -1.7485E-07
       2.5000E-02      -4.8717E-10       6.3530E-11      -1.7485E-07
       3.5000E-02      -4.8717E-10       2.4303E-10      -1.7485E-07
       4.5000E-02      -4.8717E-10       3.7817E-10      -1.7485E-07
       5.5000E-02      -4.8717E-10       4.4185E-10      -1.7485E-07
       6.5000E-02      -4.8717E-10       4.6243E-10      -1.7485E-07
       7.5000E-02      -4.8717E-10       4.6336E-10      -1.7485E-07
       8.5000E-02      -4.8717E-10       4.5581E-10      -1.7485E-07
       9.5000E-02      -4.8717E-10       4.4421E-10      -1.7485E-07
       1.0500E-01      -4.8717E-10       4.3043E-10      -1.7485E-07
       1.1500E-01      -4.8717E-10       4.1587E-10      -1.7485E-07
       1.2500E-01      -4.8717E-10       4.0211E-10      -1.7485E-07
       1.3500E-01      -4.8717E-10       3.9062E-10      -1.7485E-07
       1.4500E-01      -4.8717E-10       3.8209E-10      -1.7485E-07
       1.5500E-01      -4.8717E-10       3.7632E-10      -1.7485E-07
       1.6500E-01      -4.8717E-10       3.7260E-10      -1.7485E-07
       1.7500E-01      -4.8717E-10       3.7026E-10      -1.7485E-07
       1.8500E-01      -4.8717E-10       3.6877E-10      -1.7485E-07
       1.9500E-01      -4.8717E-10       3.6781E-10      -1.7485E-07
       2.0500E-01      -4.8717E-10       3.6717E-10      -1.7485E-07
       2.1500E-01      -4.8717E-10       3.6673E-10      -1.7485E-07
       2.2500E-01      -4.8717E-10       3.6642E-10      -1.7485E-07
       2.3500E-01      -4.8717E-10       3.6592E-10      -1.7485E-07
       2.4500E-01      -4.8717E-10       3.5406E-10      -1.7485E-07
       2.5500E-01       0.0000E+00       1.7074E-11       0.0000E+00
       2.6500E-01       0.0000E+00       1.3463E-12       0.0000E+00
       2.7500E-01       0.0000E+00       1.1188E-13       0.0000E+00
       2.8500E-01       0.0000E+00       9.3389E-15       0.0000E+00
       2.9500E-01       0.0000E+00       7.7983E-16       0.0000E+00
       3.0500E-01       0.0000E+00       6.5103E-17       0.0000E+00
       3.1500E-01       0.0000E+00       5.4130E-18       0.0000E+00
       3.2500E-01       0.0000E+00       4.2215E-19       0.0000E+00
       3.3500E-01       0.0000E+00      -1.3303E-21       0.0000E+00
       3.4500E-01       0.0000E+00      -4.3684E-20       0.0000E+00
       3.5500E-01       0.0000E+00      -5.4460E-20       0.0000E+00
       3.6500E-01       0.0000E+00      -6.2829E-20       0.0000E+00
       3.7500E-01       0.0000E+00      -7.1213E-20       0.0000E+00
       3.8500E-01       0.0000E+00      -7.9810E-20       0.0000E+00
       3.9500E-01       0.0000E+00      -8.8635E-20       0.0000E+00
       4.0500E-01       0.0000E+00      -9.7703E-20       0.0000E+00
       4.1500E-01       0.0000E+00      -1.0703E-19       0.0000E+00
       4.2500E-01       0.0000E+00      -1.1663E-19       0.0000E+00
       4.3500E-01       0.0000E+00      -1.2653E-19       0.0000E+00
       4.4500E-01       0.0000E+00      -1.3677E-19       0.0000E+00
       4.5500E-01       0.0000E+00      -1.4738E-19       0.0000E+00
       4.6500E-01       0.0000E+00      -1.5839E-19       0.0000E+00
       4.7500E-01       0.0000E+00      -1.6984E-19       0.0000E+00
       4.8500E-01       0.0000E+00      -1.8175E-19       0.0000E+00
       4.9500E-01       0.0000E+00      -1.9417E-19       0.0000E+00
       5.0500E-01       0.0000E+00      -2.0711E-19       0.0000E+00
       5.1500E-01       0.0000E+00      -2.2062E-19       0.0000E+00
       5.2500E-01       0.0000E+00      -2.3473E-19       0.0000E+00
       5.3500E-01       0.0000E+00      -2.4945E-19       0.0000E+00
       5.4500E-01       0.0000E+00      -2.6481E-19       0.0000E+00
       5.5500E-01       0.0000E+00      -2.8085E-19       0.0000E+00
       5.6500E-01       0.0000E+00      -2.9758E-19       0.0000E+00
       5.7500E-01       0.0000E+00      -3.1502E-19       0.0000E+00
       5.8500E-01       0.0000E+00      -3.3320E-19       0.0000E+00
       5.9500E-01       0.0000E+00      -3.5215E-19       0.0000E+00
       6.0500E-01       0.0000E+00      -3.7188E-19       0.0000E+00
       6.1500E-01       0.0000E+00      -3.9241E-19       0.0000E+00
       6.2500E-01       0.0000E+00      -4.1376E-19       0.0000E+00
       6.3500E-01       0.0000E+00      -4.3596E-19       0.0000E+00
       6.4500E-01       0.0000E+00      -4.5903E-19       0.0000E+00
       6.5500E-01       0.0000E+00      -4.8297E-19       0.0000E+00
       6.6500E-01       0.0000E+00      -5.0781E-19       0.0000E+00
