# Time          1.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           An50Ab50AS       Kaolinite        CO2_pump     
       5.0000E-03      -1.2623E+01      -2.0466E+00      -1.0033E+03
       1.5000E-02      -1.0974E+01      -4.8592E-01      -1.0033E+03
       2.5000E-02      -1.0125E+01       2.9810E-01      -1.0033E+03
       3.5000E-02      -9.6886E+00       6.7172E-01      -1.0033E+03
       4.5000E-02      -9.4662E+00       8.2718E-01      -1.0033E+03
       5.5000E-02      -9.3354E+00       8.8426E-01      -1.0033E+03
       6.5000E-02      -9.2367E+00       9.0095E-01      -1.0033E+03
       7.5000E-02      -9.1444E+00       9.0140E-01      -1.0033E+03
       8.5000E-02      -9.0484E+00       8.9493E-01      -1.0033E+03
       9.5000E-02      -8.9444E+00       8.8495E-01      -1.0033E+03
       1.0500E-01      -8.8314E+00       8.7286E-01      -1.0033E+03
       1.1500E-01      -8.7104E+00       8.5978E-01      -1.0032E+03
       1.2500E-01      -8.5841E+00       8.4717E-01      -1.0032E+03
       1.3500E-01      -8.4561E+00       8.3648E-01      -1.0032E+03
       1.4500E-01      -8.3305E+00       8.2849E-01      -1.0032E+03
       1.5500E-01      -8.2105E+00       8.2305E-01      -1.0032E+03
       1.6500E-01      -8.0984E+00       8.1954E-01      -1.0032E+03
       1.7500E-01      -7.9952E+00       8.1733E-01      -1.0032E+03
       1.8500E-01      -7.9013E+00       8.1592E-01      -1.0032E+03
       1.9500E-01      -7.8167E+00       8.1500E-01      -1.0032E+03
       2.0500E-01      -7.7418E+00       8.1439E-01      -1.0032E+03
       2.1500E-01      -7.6769E+00       8.1397E-01      -1.0032E+03
       2.2500E-01      -7.6233E+00       8.1368E-01      -1.0032E+03
       2.3500E-01      -7.5833E+00       8.1319E-01      -1.0032E+03
       2.4500E-01      -7.5690E+00       8.0126E-01      -1.0032E+03
       2.5500E-01      -8.0973E+00       9.7564E-02      -1.0032E+03
       2.6500E-01      -8.1640E+00       8.4535E-03      -1.0032E+03
       2.7500E-01      -8.1698E+00       7.0174E-04      -1.0032E+03
