# Time series at grid cell: 200   1   1
  Time(yrs)                  pH                     H+                     CO2(aq)                Mg++                   Ca++                  
  1.00000E-14                4.99986353362570E+00   5.38830890044946E-06   1.06986865538426E-04   9.77451317326649E-05   1.46713129625155E-04
  2.00000E-14                5.00044110830213E+00   5.38830890044917E-06   1.06997690247342E-04   9.78896575875472E-05   1.47014984045291E-04
  3.00000E-14                5.00044222627044E+00   5.38830890044887E-06   1.06997711091272E-04   9.78899352624055E-05   1.47015576567077E-04
  4.00000E-14                5.00044222845018E+00   5.38830890044858E-06   1.06997711131912E-04   9.78899358037831E-05   1.47015577722358E-04
  5.00000E-14                5.00044222845444E+00   5.38830890044829E-06   1.06997711131991E-04   9.78899358048354E-05   1.47015577724606E-04
  7.00000E-14                5.00044222845446E+00   5.38830890044770E-06   1.06997711131991E-04   9.78899358048209E-05   1.47015577724585E-04
  1.10000E-13                5.00044222845449E+00   5.38830890044651E-06   1.06997711131991E-04   9.78899358048228E-05   1.47015577724588E-04
  1.90000E-13                5.00044222845454E+00   5.38830890044419E-06   1.06997711131992E-04   9.78899358048213E-05   1.47015577724585E-04
  3.50000E-13                5.00044222845464E+00   5.38830890043949E-06   1.06997711131992E-04   9.78899358048213E-05   1.47015577724585E-04
  6.70000E-13                5.00044222845485E+00   5.38830890043009E-06   1.06997711131993E-04   9.78899358048214E-05   1.47015577724585E-04
  1.31000E-12                5.00044222845527E+00   5.38830890041132E-06   1.06997711131996E-04   9.78899358048256E-05   1.47015577724592E-04
  2.59000E-12                5.00044222845611E+00   5.38830890037376E-06   1.06997711132001E-04   9.78899358048329E-05   1.47015577724603E-04
  5.15000E-12                5.00044222845779E+00   5.38830890029866E-06   1.06997711132011E-04   9.78899358048377E-05   1.47015577724611E-04
  1.02700E-11                5.00044222846114E+00   5.38830890014846E-06   1.06997711132031E-04   9.78899358048325E-05   1.47015577724603E-04
  2.05100E-11                5.00044222846784E+00   5.38830889984806E-06   1.06997711132070E-04   9.78899358048270E-05   1.47015577724595E-04
  4.09900E-11                5.00044222848125E+00   5.38830889924725E-06   1.06997711132150E-04   9.78899358048332E-05   1.47015577724604E-04
  8.19500E-11                5.00044222850807E+00   5.38830889804560E-06   1.06997711132308E-04   9.78899358048395E-05   1.47015577724614E-04
  1.63870E-10                5.00044222856170E+00   5.38830889564229E-06   1.06997711132626E-04   9.78899358048340E-05   1.47015577724606E-04
  3.27710E-10                5.00044222866897E+00   5.38830889083567E-06   1.06997711133262E-04   9.78899358048465E-05   1.47015577724625E-04
  6.55390E-10                5.00044222888350E+00   5.38830888122249E-06   1.06997711134533E-04   9.78899358048591E-05   1.47015577724646E-04
  1.31075E-09                5.00044222931256E+00   5.38830886199609E-06   1.06997711137074E-04   9.78899358048620E-05   1.47015577724653E-04
  2.62147E-09                5.00044223017069E+00   5.38830882354330E-06   1.06997711142158E-04   9.78899358048893E-05   1.47015577724701E-04
