# Time          4.5000E+01
# Units: Mol/kgw
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       5.0000E-03       1.0906E-05       1.6196E-05       1.2001E-04       1.8021E-04       2.0000E-05       1.1386E-06       8.0022E-04       8.8947E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.5000E-02       7.9781E-06       1.6798E-05       1.2002E-04       1.8057E-04       2.0000E-05       2.4946E-06       8.0060E-04       1.4856E-06       1.0343E-03       2.0000E-04       2.0000E-04
       2.5000E-02       5.9706E-06       1.7383E-05       1.2004E-04       1.8091E-04       2.0000E-05       3.5437E-06       8.0098E-04       1.7749E-06       1.0343E-03       2.0000E-04       2.0000E-04
       3.5000E-02       4.8462E-06       1.7920E-05       1.2006E-04       1.8125E-04       2.0000E-05       4.2984E-06       8.0136E-04       1.7698E-06       1.0343E-03       2.0000E-04       2.0000E-04
       4.5000E-02       4.2532E-06       1.8415E-05       1.2009E-04       1.8157E-04       2.0000E-05       4.8759E-06       8.0174E-04       1.5876E-06       1.0343E-03       2.0000E-04       2.0000E-04
       5.5000E-02       3.8611E-06       1.8888E-05       1.2013E-04       1.8188E-04       2.0000E-05       5.3864E-06       8.0212E-04       1.3385E-06       1.0343E-03       2.0000E-04       2.0000E-04
       6.5000E-02       3.4885E-06       1.9355E-05       1.2018E-04       1.8218E-04       2.0000E-05       5.8903E-06       8.0250E-04       1.0831E-06       1.0343E-03       2.0000E-04       2.0000E-04
       7.5000E-02       3.0547E-06       1.9830E-05       1.2024E-04       1.8247E-04       2.0000E-05       6.4144E-06       8.0288E-04       8.4814E-07       1.0343E-03       2.0000E-04       2.0000E-04
       8.5000E-02       2.5265E-06       2.0327E-05       1.2032E-04       1.8275E-04       2.0000E-05       6.9698E-06       8.0326E-04       6.4490E-07       1.0343E-03       2.0000E-04       2.0000E-04
       9.5000E-02       1.8917E-06       2.0860E-05       1.2040E-04       1.8302E-04       2.0000E-05       7.5604E-06       8.0364E-04       4.7749E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.0500E-01       1.1500E-06       2.1446E-05       1.2049E-04       1.8329E-04       1.9999E-05       8.1861E-06       8.0401E-04       3.4619E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.1500E-01       3.0991E-07       2.2101E-05       1.2059E-04       1.8354E-04       1.9999E-05       8.8440E-06       8.0439E-04       2.4838E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.2500E-01      -6.1272E-07       2.2837E-05       1.2070E-04       1.8378E-04       1.9999E-05       9.5284E-06       8.0477E-04       1.7904E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.3500E-01      -1.5974E-06       2.3657E-05       1.2082E-04       1.8402E-04       1.9999E-05       1.0232E-05       8.0514E-04       1.3178E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.4500E-01      -2.6232E-06       2.4553E-05       1.2094E-04       1.8425E-04       1.9999E-05       1.0948E-05       8.0552E-04       1.0027E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.5500E-01      -3.6717E-06       2.5509E-05       1.2106E-04       1.8447E-04       1.9999E-05       1.1668E-05       8.0589E-04       7.9268E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.6500E-01      -4.7278E-06       2.6506E-05       1.2119E-04       1.8468E-04       1.9999E-05       1.2386E-05       8.0625E-04       6.5070E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.7500E-01      -5.7786E-06       2.7521E-05       1.2132E-04       1.8489E-04       1.9999E-05       1.3096E-05       8.0661E-04       5.5242E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.8500E-01      -6.8113E-06       2.8535E-05       1.2144E-04       1.8510E-04       1.9999E-05       1.3792E-05       8.0696E-04       4.8261E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.9500E-01      -7.8112E-06       2.9526E-05       1.2157E-04       1.8529E-04       1.9999E-05       1.4463E-05       8.0730E-04       4.3191E-08       1.0343E-03       2.0000E-04       2.0000E-04
       2.0500E-01      -8.7594E-06       3.0470E-05       1.2169E-04       1.8547E-04       1.9999E-05       1.5099E-05       8.0762E-04       3.9450E-08       1.0343E-03       2.0000E-04       2.0000E-04
       2.1500E-01      -9.6300E-06       3.1338E-05       1.2181E-04       1.8563E-04       1.9999E-05       1.5682E-05       8.0792E-04       3.6680E-08       1.0343E-03       2.0000E-04       2.0000E-04
       2.2500E-01      -1.0386E-05       3.2091E-05       1.2191E-04       1.8576E-04       1.9999E-05       1.6189E-05       8.0817E-04       3.4667E-08       1.0343E-03       2.0000E-04       2.0000E-04
       2.3500E-01      -1.0977E-05       3.2677E-05       1.2201E-04       1.8585E-04       1.9999E-05       1.6584E-05       8.0837E-04       3.3288E-08       1.0343E-03       2.0000E-04       2.0000E-04
       2.4500E-01      -1.1325E-05       3.3021E-05       1.2208E-04       1.8588E-04       1.9999E-05       1.6817E-05       8.0849E-04       3.2100E-08       1.0343E-03       2.0000E-04       2.0000E-04
       2.5500E-01      -1.1272E-05       3.3016E-05       1.2213E-04       1.8583E-04       1.9999E-05       1.6799E-05       8.0849E-04       1.4430E-08       1.0343E-03       2.0000E-04       2.0000E-04
       2.6500E-01      -1.1268E-05       3.3016E-05       1.2218E-04       1.8578E-04       1.9999E-05       1.6798E-05       8.0849E-04       1.3013E-08       1.0343E-03       2.0000E-04       2.0000E-04
       2.7500E-01      -1.1268E-05       3.3017E-05       1.2223E-04       1.8574E-04       1.9999E-05       1.6798E-05       8.0849E-04       1.2893E-08       1.0343E-03       2.0000E-04       2.0000E-04
       2.8500E-01      -1.1268E-05       3.3017E-05       1.2228E-04       1.8569E-04       1.9999E-05       1.6798E-05       8.0849E-04       1.2883E-08       1.0343E-03       2.0000E-04       2.0000E-04
       2.9500E-01      -1.1268E-05       3.3017E-05       1.2233E-04       1.8564E-04       1.9999E-05       1.6798E-05       8.0849E-04       1.2882E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.0500E-01      -1.1269E-05       3.3017E-05       1.2237E-04       1.8560E-04       1.9999E-05       1.6799E-05       8.0849E-04       1.2882E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.1500E-01      -1.1269E-05       3.3018E-05       1.2241E-04       1.8555E-04       1.9999E-05       1.6799E-05       8.0849E-04       1.2881E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.2500E-01      -1.1269E-05       3.3018E-05       1.2245E-04       1.8551E-04       1.9999E-05       1.6799E-05       8.0849E-04       1.2881E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.3500E-01      -1.1270E-05       3.3018E-05       1.2249E-04       1.8547E-04       1.9999E-05       1.6799E-05       8.0849E-04       1.2881E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.4500E-01      -1.1270E-05       3.3018E-05       1.2253E-04       1.8544E-04       1.9999E-05       1.6799E-05       8.0849E-04       1.2881E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.5500E-01      -1.1270E-05       3.3019E-05       1.2257E-04       1.8540E-04       1.9999E-05       1.6800E-05       8.0849E-04       1.2880E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.6500E-01      -1.1271E-05       3.3019E-05       1.2260E-04       1.8537E-04       1.9999E-05       1.6800E-05       8.0849E-04       1.2880E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.7500E-01      -1.1271E-05       3.3019E-05       1.2263E-04       1.8534E-04       1.9999E-05       1.6800E-05       8.0849E-04       1.2880E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.8500E-01      -1.1271E-05       3.3020E-05       1.2266E-04       1.8531E-04       1.9999E-05       1.6800E-05       8.0849E-04       1.2880E-08       1.0343E-03       2.0000E-04       2.0000E-04
       3.9500E-01      -1.1271E-05       3.3020E-05       1.2268E-04       1.8528E-04       1.9999E-05       1.6800E-05       8.0849E-04       1.2879E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.0500E-01      -1.1272E-05       3.3020E-05       1.2271E-04       1.8526E-04       1.9999E-05       1.6801E-05       8.0849E-04       1.2879E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.1500E-01      -1.1272E-05       3.3020E-05       1.2273E-04       1.8524E-04       1.9999E-05       1.6801E-05       8.0849E-04       1.2879E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.2500E-01      -1.1272E-05       3.3021E-05       1.2275E-04       1.8522E-04       1.9999E-05       1.6801E-05       8.0849E-04       1.2879E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.3500E-01      -1.1273E-05       3.3021E-05       1.2276E-04       1.8520E-04       1.9999E-05       1.6801E-05       8.0849E-04       1.2878E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.4500E-01      -1.1273E-05       3.3021E-05       1.2278E-04       1.8519E-04       1.9999E-05       1.6801E-05       8.0849E-04       1.2878E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.5500E-01      -1.1273E-05       3.3022E-05       1.2279E-04       1.8518E-04       1.9999E-05       1.6802E-05       8.0849E-04       1.2878E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.6500E-01      -1.1274E-05       3.3022E-05       1.2280E-04       1.8516E-04       1.9999E-05       1.6802E-05       8.0849E-04       1.2878E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.7500E-01      -1.1274E-05       3.3022E-05       1.2281E-04       1.8515E-04       1.9999E-05       1.6802E-05       8.0849E-04       1.2877E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.8500E-01      -1.1274E-05       3.3022E-05       1.2282E-04       1.8515E-04       1.9999E-05       1.6802E-05       8.0849E-04       1.2877E-08       1.0343E-03       2.0000E-04       2.0000E-04
       4.9500E-01      -1.1274E-05       3.3023E-05       1.2283E-04       1.8514E-04       1.9999E-05       1.6802E-05       8.0849E-04       1.2877E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.0500E-01      -1.1275E-05       3.3023E-05       1.2284E-04       1.8513E-04       1.9999E-05       1.6803E-05       8.0849E-04       1.2877E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.1500E-01      -1.1275E-05       3.3023E-05       1.2284E-04       1.8513E-04       1.9999E-05       1.6803E-05       8.0849E-04       1.2877E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.2500E-01      -1.1275E-05       3.3023E-05       1.2285E-04       1.8512E-04       1.9999E-05       1.6803E-05       8.0849E-04       1.2876E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.3500E-01      -1.1276E-05       3.3024E-05       1.2285E-04       1.8512E-04       1.9999E-05       1.6803E-05       8.0849E-04       1.2876E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.4500E-01      -1.1276E-05       3.3024E-05       1.2285E-04       1.8512E-04       1.9999E-05       1.6803E-05       8.0849E-04       1.2876E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.5500E-01      -1.1276E-05       3.3024E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6804E-05       8.0849E-04       1.2876E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.6500E-01      -1.1277E-05       3.3025E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6804E-05       8.0849E-04       1.2875E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.7500E-01      -1.1277E-05       3.3025E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6804E-05       8.0849E-04       1.2875E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.8500E-01      -1.1277E-05       3.3025E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6804E-05       8.0849E-04       1.2875E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.9500E-01      -1.1277E-05       3.3025E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6804E-05       8.0849E-04       1.2875E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.0500E-01      -1.1278E-05       3.3026E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6805E-05       8.0849E-04       1.2874E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.1500E-01      -1.1278E-05       3.3026E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6805E-05       8.0849E-04       1.2874E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.2500E-01      -1.1278E-05       3.3026E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6805E-05       8.0849E-04       1.2874E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.3500E-01      -1.1279E-05       3.3027E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6805E-05       8.0849E-04       1.2874E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.4500E-01      -1.1279E-05       3.3027E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6805E-05       8.0849E-04       1.2873E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.5500E-01      -1.1279E-05       3.3027E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6806E-05       8.0849E-04       1.2873E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.6500E-01      -1.1279E-05       3.3027E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6806E-05       8.0849E-04       1.2873E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.7500E-01      -1.1280E-05       3.3028E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6806E-05       8.0849E-04       1.2873E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.8500E-01      -1.1280E-05       3.3028E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6806E-05       8.0849E-04       1.2872E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.9500E-01      -1.1280E-05       3.3028E-05       1.2286E-04       1.8511E-04       1.9998E-05       1.6806E-05       8.0849E-04       1.2872E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.0500E-01      -1.1281E-05       3.3028E-05       1.2287E-04       1.8511E-04       1.9998E-05       1.6807E-05       8.0849E-04       1.2872E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.1500E-01      -1.1281E-05       3.3029E-05       1.2287E-04       1.8511E-04       1.9998E-05       1.6807E-05       8.0849E-04       1.2872E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.2500E-01      -1.1281E-05       3.3029E-05       1.2287E-04       1.8511E-04       1.9998E-05       1.6807E-05       8.0849E-04       1.2871E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.3500E-01      -1.1282E-05       3.3029E-05       1.2287E-04       1.8511E-04       1.9998E-05       1.6807E-05       8.0849E-04       1.2871E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.4500E-01      -1.1282E-05       3.3030E-05       1.2287E-04       1.8511E-04       1.9998E-05       1.6807E-05       8.0849E-04       1.2871E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.5500E-01      -1.1282E-05       3.3030E-05       1.2287E-04       1.8511E-04       1.9998E-05       1.6808E-05       8.0849E-04       1.2871E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.6500E-01      -1.1282E-05       3.3030E-05       1.2287E-04       1.8511E-04       1.9997E-05       1.6808E-05       8.0849E-04       1.2871E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.7500E-01      -1.1283E-05       3.3030E-05       1.2287E-04       1.8511E-04       1.9997E-05       1.6808E-05       8.0849E-04       1.2870E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.8500E-01      -1.1283E-05       3.3031E-05       1.2287E-04       1.8511E-04       1.9997E-05       1.6808E-05       8.0849E-04       1.2870E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.9500E-01      -1.1283E-05       3.3031E-05       1.2287E-04       1.8511E-04       1.9997E-05       1.6808E-05       8.0849E-04       1.2870E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.0500E-01      -1.1284E-05       3.3031E-05       1.2287E-04       1.8511E-04       1.9997E-05       1.6809E-05       8.0849E-04       1.2870E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.1500E-01      -1.1284E-05       3.3031E-05       1.2287E-04       1.8511E-04       1.9997E-05       1.6809E-05       8.0849E-04       1.2869E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.2500E-01      -1.1284E-05       3.3032E-05       1.2287E-04       1.8511E-04       1.9997E-05       1.6809E-05       8.0849E-04       1.2869E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.3500E-01      -1.1285E-05       3.3032E-05       1.2287E-04       1.8511E-04       1.9997E-05       1.6809E-05       8.0849E-04       1.2869E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.4500E-01      -1.1285E-05       3.3032E-05       1.2287E-04       1.8511E-04       1.9997E-05       1.6809E-05       8.0849E-04       1.2869E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.5500E-01      -1.1285E-05       3.3033E-05       1.2287E-04       1.8511E-04       1.9997E-05       1.6810E-05       8.0849E-04       1.2868E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.6500E-01      -1.1285E-05       3.3033E-05       1.2287E-04       1.8511E-04       1.9997E-05       1.6810E-05       8.0849E-04       1.2868E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.7500E-01      -1.1286E-05       3.3033E-05       1.2287E-04       1.8511E-04       1.9996E-05       1.6810E-05       8.0849E-04       1.2868E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.8500E-01      -1.1286E-05       3.3033E-05       1.2287E-04       1.8511E-04       1.9996E-05       1.6810E-05       8.0849E-04       1.2868E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.9500E-01      -1.1286E-05       3.3034E-05       1.2287E-04       1.8511E-04       1.9996E-05       1.6810E-05       8.0849E-04       1.2867E-08       1.0343E-03       2.0000E-04       2.0000E-04
       9.0500E-01      -1.1287E-05       3.3034E-05       1.2287E-04       1.8511E-04       1.9996E-05       1.6811E-05       8.0849E-04       1.2867E-08       1.0343E-03       2.0000E-04       2.0000E-04
       9.1500E-01      -1.1287E-05       3.3034E-05       1.2287E-04       1.8511E-04       1.9996E-05       1.6811E-05       8.0849E-04       1.2867E-08       1.0343E-03       2.0000E-04       2.0000E-04
       9.2500E-01      -1.1287E-05       3.3035E-05       1.2287E-04       1.8511E-04       1.9996E-05       1.6811E-05       8.0849E-04       1.2867E-08       1.0343E-03       2.0000E-04       2.0000E-04
       9.3500E-01      -1.1287E-05       3.3035E-05       1.2287E-04       1.8511E-04       1.9996E-05       1.6811E-05       8.0849E-04       1.2866E-08       1.0343E-03       2.0000E-04       2.0000E-04
       9.4500E-01      -1.1288E-05       3.3035E-05       1.2287E-04       1.8511E-04       1.9995E-05       1.6811E-05       8.0849E-04       1.2866E-08       1.0343E-03       2.0000E-04       2.0000E-04
       9.5500E-01      -1.1288E-05       3.3035E-05       1.2287E-04       1.8511E-04       1.9995E-05       1.6812E-05       8.0849E-04       1.2866E-08       1.0343E-03       2.0000E-04       2.0000E-04
       9.6500E-01      -1.1288E-05       3.3036E-05       1.2287E-04       1.8511E-04       1.9995E-05       1.6812E-05       8.0849E-04       1.2866E-08       1.0343E-03       2.0000E-04       2.0000E-04
       9.7500E-01      -1.1289E-05       3.3036E-05       1.2287E-04       1.8511E-04       1.9995E-05       1.6812E-05       8.0849E-04       1.2865E-08       1.0343E-03       2.0000E-04       2.0000E-04
       9.8500E-01      -1.1289E-05       3.3036E-05       1.2287E-04       1.8511E-04       1.9995E-05       1.6812E-05       8.0849E-04       1.2865E-08       1.0343E-03       2.0000E-04       2.0000E-04
       9.9500E-01      -1.1289E-05       3.3036E-05       1.2287E-04       1.8511E-04       1.9994E-05       1.6812E-05       8.0849E-04       1.2865E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.0050E+00      -1.1290E-05       3.3037E-05       1.2287E-04       1.8511E-04       1.9994E-05       1.6813E-05       8.0849E-04       1.2865E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.0150E+00      -1.1290E-05       3.3037E-05       1.2287E-04       1.8511E-04       1.9994E-05       1.6813E-05       8.0849E-04       1.2865E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.0250E+00      -1.1290E-05       3.3037E-05       1.2287E-04       1.8511E-04       1.9994E-05       1.6813E-05       8.0849E-04       1.2864E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.0350E+00      -1.1290E-05       3.3038E-05       1.2287E-04       1.8511E-04       1.9993E-05       1.6813E-05       8.0849E-04       1.2864E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.0450E+00      -1.1291E-05       3.3038E-05       1.2287E-04       1.8511E-04       1.9993E-05       1.6813E-05       8.0849E-04       1.2864E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.0550E+00      -1.1291E-05       3.3038E-05       1.2287E-04       1.8511E-04       1.9993E-05       1.6814E-05       8.0849E-04       1.2864E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.0650E+00      -1.1291E-05       3.3038E-05       1.2287E-04       1.8511E-04       1.9992E-05       1.6814E-05       8.0849E-04       1.2863E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.0750E+00      -1.1292E-05       3.3039E-05       1.2287E-04       1.8511E-04       1.9992E-05       1.6814E-05       8.0849E-04       1.2863E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.0850E+00      -1.1292E-05       3.3039E-05       1.2287E-04       1.8511E-04       1.9992E-05       1.6814E-05       8.0849E-04       1.2863E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.0950E+00      -1.1292E-05       3.3039E-05       1.2287E-04       1.8511E-04       1.9991E-05       1.6814E-05       8.0849E-04       1.2863E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.1050E+00      -1.1293E-05       3.3040E-05       1.2287E-04       1.8511E-04       1.9991E-05       1.6814E-05       8.0849E-04       1.2862E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.1150E+00      -1.1293E-05       3.3040E-05       1.2287E-04       1.8511E-04       1.9991E-05       1.6815E-05       8.0849E-04       1.2862E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.1250E+00      -1.1293E-05       3.3040E-05       1.2287E-04       1.8511E-04       1.9990E-05       1.6815E-05       8.0849E-04       1.2862E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.1350E+00      -1.1293E-05       3.3040E-05       1.2287E-04       1.8511E-04       1.9990E-05       1.6815E-05       8.0849E-04       1.2862E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.1450E+00      -1.1294E-05       3.3041E-05       1.2287E-04       1.8511E-04       1.9989E-05       1.6815E-05       8.0849E-04       1.2861E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.1550E+00      -1.1294E-05       3.3041E-05       1.2287E-04       1.8511E-04       1.9989E-05       1.6815E-05       8.0849E-04       1.2861E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.1650E+00      -1.1294E-05       3.3041E-05       1.2287E-04       1.8511E-04       1.9988E-05       1.6816E-05       8.0849E-04       1.2861E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.1750E+00      -1.1295E-05       3.3041E-05       1.2287E-04       1.8511E-04       1.9988E-05       1.6816E-05       8.0849E-04       1.2861E-08       1.0343E-03       2.0000E-04       2.0000E-04
