# Time          1.0000E+01
# Units: Mol/g solid
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       5.0000E-03       0.0000E+00       0.0000E+00       3.9548E-11       7.9811E-11       2.9567E-13       0.0000E+00       3.9199E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.5000E-02       0.0000E+00       0.0000E+00       3.9502E-11       7.9857E-11       2.9533E-13       0.0000E+00       3.9190E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.5000E-02       0.0000E+00       0.0000E+00       3.9464E-11       7.9896E-11       2.9494E-13       0.0000E+00       3.9182E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.5000E-02       0.0000E+00       0.0000E+00       3.9436E-11       7.9925E-11       2.9450E-13       0.0000E+00       3.9174E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       4.5000E-02       0.0000E+00       0.0000E+00       3.9417E-11       7.9944E-11       2.9399E-13       0.0000E+00       3.9166E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       5.5000E-02       0.0000E+00       0.0000E+00       3.9406E-11       7.9956E-11       2.9340E-13       0.0000E+00       3.9157E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       6.5000E-02       0.0000E+00       0.0000E+00       3.9400E-11       7.9962E-11       2.9271E-13       0.0000E+00       3.9146E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       7.5000E-02       0.0000E+00       0.0000E+00       3.9398E-11       7.9966E-11       2.9192E-13       0.0000E+00       3.9134E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       8.5000E-02       0.0000E+00       0.0000E+00       3.9397E-11       7.9968E-11       2.9100E-13       0.0000E+00       3.9120E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       9.5000E-02       0.0000E+00       0.0000E+00       3.9396E-11       7.9970E-11       2.8995E-13       0.0000E+00       3.9105E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
