# Time series at grid cell: 200   1   1
  Time(yrs)                  pH                     H+                     CO2(aq)                Mg++                   Ca++                  
  1.00000E-14                4.99986353362573E+00   5.38830889801239E-06   1.06986865545868E-04   9.77451317326588E-05   1.46713129625146E-04
  2.00000E-14                5.00044110830179E+00   5.38830889801209E-06   1.06997690254788E-04   9.78896575875586E-05   1.47014984045308E-04
  3.00000E-14                5.00044222627010E+00   5.38830889801179E-06   1.06997711098718E-04   9.78899352624091E-05   1.47015576567082E-04
  4.00000E-14                5.00044222844984E+00   5.38830889801151E-06   1.06997711139358E-04   9.78899358037837E-05   1.47015577722359E-04
  5.00000E-14                5.00044222845410E+00   5.38830889801122E-06   1.06997711139437E-04   9.78899358048334E-05   1.47015577724603E-04
  7.00000E-14                5.00044222845412E+00   5.38830889801063E-06   1.06997711139437E-04   9.78899358048483E-05   1.47015577724627E-04
  1.10000E-13                5.00044222845415E+00   5.38830889800945E-06   1.06997711139437E-04   9.78899358048454E-05   1.47015577724622E-04
  1.90000E-13                5.00044222845420E+00   5.38830889800710E-06   1.06997711139438E-04   9.78899358048459E-05   1.47015577724623E-04
  3.50000E-13                5.00044222845430E+00   5.38830889800240E-06   1.06997711139438E-04   9.78899358048459E-05   1.47015577724623E-04
  6.70000E-13                5.00044222845451E+00   5.38830889799300E-06   1.06997711139439E-04   9.78899358048459E-05   1.47015577724623E-04
  1.31000E-12                5.00044222845493E+00   5.38830889797426E-06   1.06997711139442E-04   9.78899358048454E-05   1.47015577724622E-04
  2.59000E-12                5.00044222845577E+00   5.38830889793671E-06   1.06997711139447E-04   9.78899358048591E-05   1.47015577724643E-04
  5.15000E-12                5.00044222845745E+00   5.38830889786160E-06   1.06997711139457E-04   9.78899358048518E-05   1.47015577724632E-04
  1.02700E-11                5.00044222846080E+00   5.38830889771138E-06   1.06997711139477E-04   9.78899358048614E-05   1.47015577724646E-04
  2.05100E-11                5.00044222846750E+00   5.38830889741097E-06   1.06997711139516E-04   9.78899358048570E-05   1.47015577724640E-04
  4.09900E-11                5.00044222848091E+00   5.38830889681015E-06   1.06997711139596E-04   9.78899358048517E-05   1.47015577724632E-04
  8.19500E-11                5.00044222850773E+00   5.38830889560851E-06   1.06997711139754E-04   9.78899358048513E-05   1.47015577724631E-04
  1.63870E-10                5.00044222856136E+00   5.38830889320521E-06   1.06997711140072E-04   9.78899358048489E-05   1.47015577724628E-04
  3.27710E-10                5.00044222866863E+00   5.38830888839859E-06   1.06997711140708E-04   9.78899358048515E-05   1.47015577724633E-04
  6.55390E-10                5.00044222888316E+00   5.38830887878540E-06   1.06997711141979E-04   9.78899358048592E-05   1.47015577724646E-04
  1.31075E-09                5.00044222931222E+00   5.38830885955900E-06   1.06997711144520E-04   9.78899358048720E-05   1.47015577724668E-04
  2.62147E-09                5.00044223017035E+00   5.38830882110619E-06   1.06997711149604E-04   9.78899358048927E-05   1.47015577724706E-04
  5.24291E-09                5.00044223188661E+00   5.38830874420060E-06   1.06997711159771E-04   9.78899358049305E-05   1.47015577724775E-04
  1.04858E-08                5.00044223531913E+00   5.38830859038939E-06   1.06997711180106E-04   9.78899358050438E-05   1.47015577724970E-04
  2.09715E-08                5.00044224218416E+00   5.38830828276698E-06   1.06997711220775E-04   9.78899358052450E-05   1.47015577725323E-04
  4.19431E-08                5.00044225591423E+00   5.38830766752220E-06   1.06997711302113E-04   9.78899358056438E-05   1.47015577726023E-04
  8.38861E-08                5.00044228337436E+00   5.38830643703260E-06   1.06997711464790E-04   9.78899358064600E-05   1.47015577727451E-04
  1.67772E-07                5.00044233829463E+00   5.38830397605339E-06   1.06997711790143E-04   9.78899358080760E-05   1.47015577730281E-04
  3.35544E-07                5.00044244813516E+00   5.38829905409501E-06   1.06997712440849E-04   9.78899358113209E-05   1.47015577735963E-04
  6.71089E-07                5.00044266781623E+00   5.38828921017821E-06   1.06997713742263E-04   9.78899358178228E-05   1.47015577747343E-04
  1.34218E-06                5.00044310717834E+00   5.38826952234463E-06   1.06997716345091E-04   9.78899358308238E-05   1.47015577770099E-04
  2.68435E-06                5.00044398590253E+00   5.38823014667761E-06   1.06997721550754E-04   9.78899358568316E-05   1.47015577815621E-04
  5.36871E-06                5.00044574335069E+00   5.38815139534405E-06   1.06997731962111E-04   9.78899359088504E-05   1.47015577906669E-04
  1.07374E-05                5.00044925824623E+00   5.38799389267875E-06   1.06997752784940E-04   9.78899360128744E-05   1.47015578088745E-04
  2.14748E-05                5.00045628803414E+00   5.38767888735561E-06   1.06997794431064E-04   9.78899362209370E-05   1.47015578452918E-04
  4.29497E-05                5.00047034759724E+00   5.38704887673915E-06   1.06997877725172E-04   9.78899366370414E-05   1.47015579181233E-04
  8.58993E-05                5.00049846667250E+00   5.38578885562637E-06   1.06998044320835E-04   9.78899374692686E-05   1.47015580637889E-04
  1.71799E-04                5.00055470461853E+00   5.38326881388829E-06   1.06998377541939E-04   9.78899391337239E-05   1.47015583551199E-04
  3.43597E-04                5.00066717969897E+00   5.37822873241753E-06   1.06999044094078E-04   9.78899424626344E-05   1.47015589377799E-04
  6.87195E-04                5.00089213822682E+00   5.36814857795478E-06   1.07000368704145E-04   9.78899491203513E-05   1.47015601030759E-04
  1.37439E-03                5.00134356039718E+00   5.34798830682067E-06   1.07001857407255E-04   9.78899624297674E-05   1.47015624326175E-04
  2.74878E-03                5.00229171641765E+00   5.30766795062583E-06   1.06970213644134E-04   9.78899888550559E-05   1.47015670579816E-04
  5.49756E-03                5.00462960480211E+00   5.22702833584672E-06   1.06572377645774E-04   9.78900393968063E-05   1.47015758901424E-04
  1.09951E-02                5.01102444291355E+00   5.06575783478995E-06   1.04513592157688E-04   9.78901278305635E-05   1.47015911403357E-04
  2.13234E-02                5.02575341779362E+00   4.76286816019802E-06   9.89180267978224E-05   9.78902715052268E-05   1.47016149589904E-04
  3.71789E-02                5.04993244130064E+00   4.29868807342609E-06   9.01063401534592E-05   9.78905065332825E-05   1.47016521594980E-04
