# Time          5.0000E+01
    Distance         pH
  5.0000E-03    4.9388E+00
  1.5000E-02    5.0291E+00
  2.5000E-02    5.1006E+00
  3.5000E-02    5.1488E+00
  4.5000E-02    5.1822E+00
  5.5000E-02    5.2108E+00
  6.5000E-02    5.2407E+00
  7.5000E-02    5.2750E+00
  8.5000E-02    5.3155E+00
  9.5000E-02    5.3632E+00
  1.0500E-01    5.4182E+00
  1.1500E-01    5.4797E+00
  1.2500E-01    5.5459E+00
  1.3500E-01    5.6139E+00
  1.4500E-01    5.6809E+00
  1.5500E-01    5.7447E+00
  1.6500E-01    5.8038E+00
  1.7500E-01    5.8578E+00
  1.8500E-01    5.9065E+00
  1.9500E-01    5.9499E+00
  2.0500E-01    5.9880E+00
  2.1500E-01    6.0208E+00
  2.2500E-01    6.0477E+00
  2.3500E-01    6.0677E+00
  2.4500E-01    6.0793E+00
  2.5500E-01    6.0791E+00
  2.6500E-01    6.0791E+00
  2.7500E-01    6.0791E+00
  2.8500E-01    6.0791E+00
  2.9500E-01    6.0791E+00
  3.0500E-01    6.0791E+00
  3.1500E-01    6.0791E+00
  3.2500E-01    6.0791E+00
  3.3500E-01    6.0791E+00
  3.4500E-01    6.0792E+00
  3.5500E-01    6.0792E+00
  3.6500E-01    6.0792E+00
  3.7500E-01    6.0792E+00
  3.8500E-01    6.0792E+00
  3.9500E-01    6.0792E+00
  4.0500E-01    6.0792E+00
  4.1500E-01    6.0792E+00
  4.2500E-01    6.0792E+00
  4.3500E-01    6.0792E+00
  4.4500E-01    6.0793E+00
  4.5500E-01    6.0793E+00
  4.6500E-01    6.0793E+00
  4.7500E-01    6.0793E+00
  4.8500E-01    6.0793E+00
  4.9500E-01    6.0793E+00
  5.0500E-01    6.0793E+00
  5.1500E-01    6.0793E+00
  5.2500E-01    6.0793E+00
  5.3500E-01    6.0793E+00
  5.4500E-01    6.0794E+00
  5.5500E-01    6.0794E+00
  5.6500E-01    6.0794E+00
  5.7500E-01    6.0794E+00
  5.8500E-01    6.0794E+00
  5.9500E-01    6.0794E+00
  6.0500E-01    6.0794E+00
  6.1500E-01    6.0794E+00
  6.2500E-01    6.0794E+00
  6.3500E-01    6.0794E+00
  6.4500E-01    6.0795E+00
  6.5500E-01    6.0795E+00
  6.6500E-01    6.0795E+00
  6.7500E-01    6.0795E+00
  6.8500E-01    6.0795E+00
  6.9500E-01    6.0795E+00
  7.0500E-01    6.0795E+00
  7.1500E-01    6.0795E+00
  7.2500E-01    6.0795E+00
  7.3500E-01    6.0795E+00
  7.4500E-01    6.0796E+00
  7.5500E-01    6.0796E+00
  7.6500E-01    6.0796E+00
  7.7500E-01    6.0796E+00
  7.8500E-01    6.0796E+00
  7.9500E-01    6.0796E+00
  8.0500E-01    6.0796E+00
  8.1500E-01    6.0796E+00
  8.2500E-01    6.0796E+00
  8.3500E-01    6.0796E+00
  8.4500E-01    6.0797E+00
  8.5500E-01    6.0797E+00
  8.6500E-01    6.0797E+00
  8.7500E-01    6.0797E+00
  8.8500E-01    6.0797E+00
  8.9500E-01    6.0797E+00
  9.0500E-01    6.0797E+00
  9.1500E-01    6.0797E+00
  9.2500E-01    6.0797E+00
  9.3500E-01    6.0797E+00
  9.4500E-01    6.0798E+00
  9.5500E-01    6.0798E+00
  9.6500E-01    6.0798E+00
  9.7500E-01    6.0798E+00
  9.8500E-01    6.0798E+00
  9.9500E-01    6.0798E+00
  1.0050E+00    6.0798E+00
  1.0150E+00    6.0798E+00
  1.0250E+00    6.0798E+00
  1.0350E+00    6.0798E+00
  1.0450E+00    6.0799E+00
  1.0550E+00    6.0799E+00
  1.0650E+00    6.0799E+00
  1.0750E+00    6.0799E+00
  1.0850E+00    6.0799E+00
  1.0950E+00    6.0799E+00
  1.1050E+00    6.0799E+00
  1.1150E+00    6.0799E+00
  1.1250E+00    6.0799E+00
  1.1350E+00    6.0799E+00
  1.1450E+00    6.0800E+00
  1.1550E+00    6.0800E+00
  1.1650E+00    6.0800E+00
  1.1750E+00    6.0800E+00
  1.1850E+00    6.0800E+00
  1.1950E+00    6.0800E+00
  1.2050E+00    6.0800E+00
  1.2150E+00    6.0800E+00
  1.2250E+00    6.0800E+00
  1.2350E+00    6.0800E+00
  1.2450E+00    6.0801E+00
  1.2550E+00    6.0801E+00
  1.2650E+00    6.0801E+00
  1.2750E+00    6.0801E+00
  1.2850E+00    6.0801E+00
  1.2950E+00    6.0801E+00
  1.3050E+00    6.0801E+00
  1.3150E+00    6.0801E+00
  1.3250E+00    6.0801E+00
  1.3350E+00    6.0801E+00
  1.3450E+00    6.0802E+00
  1.3550E+00    6.0802E+00
  1.3650E+00    6.0802E+00
  1.3750E+00    6.0802E+00
  1.3850E+00    6.0802E+00
  1.3950E+00    6.0802E+00
  1.4050E+00    6.0802E+00
  1.4150E+00    6.0802E+00
  1.4250E+00    6.0802E+00
