# Time          2.0000E+01
# Units: Mol/m**3 Porous Medium/s
    Distance           An50Ab50AS       Kaolinite        CO2_pump     
       5.0000E-03      -4.8845E-10      -6.6394E-11      -1.7485E-07
       1.5000E-02      -4.8845E-10      -4.5422E-11      -1.7485E-07
       2.5000E-02      -4.8845E-10       6.4373E-11      -1.7485E-07
       3.5000E-02      -4.8845E-10       2.4454E-10      -1.7485E-07
       4.5000E-02      -4.8845E-10       3.7978E-10      -1.7485E-07
       5.5000E-02      -4.8845E-10       4.4331E-10      -1.7485E-07
       6.5000E-02      -4.8845E-10       4.6373E-10      -1.7485E-07
       7.5000E-02      -4.8845E-10       4.6454E-10      -1.7485E-07
       8.5000E-02      -4.8845E-10       4.5688E-10      -1.7485E-07
       9.5000E-02      -4.8845E-10       4.4517E-10      -1.7485E-07
       1.0500E-01      -4.8845E-10       4.3128E-10      -1.7485E-07
       1.1500E-01      -4.8845E-10       4.1663E-10      -1.7485E-07
       1.2500E-01      -4.8845E-10       4.0283E-10      -1.7485E-07
       1.3500E-01      -4.8845E-10       3.9135E-10      -1.7485E-07
       1.4500E-01      -4.8845E-10       3.8287E-10      -1.7485E-07
       1.5500E-01      -4.8845E-10       3.7714E-10      -1.7485E-07
       1.6500E-01      -4.8845E-10       3.7347E-10      -1.7485E-07
       1.7500E-01      -4.8845E-10       3.7116E-10      -1.7485E-07
       1.8500E-01      -4.8845E-10       3.6969E-10      -1.7485E-07
       1.9500E-01      -4.8845E-10       3.6874E-10      -1.7485E-07
       2.0500E-01      -4.8845E-10       3.6811E-10      -1.7485E-07
       2.1500E-01      -4.8845E-10       3.6768E-10      -1.7485E-07
       2.2500E-01      -4.8845E-10       3.6737E-10      -1.7485E-07
       2.3500E-01      -4.8845E-10       3.6688E-10      -1.7485E-07
       2.4500E-01      -4.8845E-10       3.5503E-10      -1.7485E-07
       2.5500E-01       0.0000E+00       1.7046E-11       0.0000E+00
       2.6500E-01       0.0000E+00       1.3394E-12       0.0000E+00
       2.7500E-01       0.0000E+00       1.1091E-13       0.0000E+00
       2.8500E-01       0.0000E+00       9.2248E-15       0.0000E+00
       2.9500E-01       0.0000E+00       7.6728E-16       0.0000E+00
       3.0500E-01       0.0000E+00       6.3547E-17       0.0000E+00
       3.1500E-01       0.0000E+00       4.9691E-18       0.0000E+00
       3.2500E-01       0.0000E+00       7.2918E-20       0.0000E+00
