# Time          1.0000E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance           An50Ab50AS       Kaolinite        CO2_pump     
       5.0000E-03      -1.2618E+01      -2.0422E+00      -1.0033E+03
       1.5000E-02      -1.0967E+01      -4.8051E-01      -1.0033E+03
       2.5000E-02      -1.0118E+01       3.0288E-01      -1.0033E+03
       3.5000E-02      -9.6811E+00       6.7527E-01      -1.0033E+03
       4.5000E-02      -9.4589E+00       8.2977E-01      -1.0033E+03
       5.5000E-02      -9.3282E+00       8.8629E-01      -1.0033E+03
       6.5000E-02      -9.2296E+00       9.0267E-01      -1.0033E+03
       7.5000E-02      -9.1380E+00       9.0296E-01      -1.0033E+03
       8.5000E-02      -9.0430E+00       8.9642E-01      -1.0033E+03
       9.5000E-02      -8.9406E+00       8.8643E-01      -1.0033E+03
       1.0500E-01      -8.8299E+00       8.7440E-01      -1.0033E+03
       1.1500E-01      -8.7118E+00       8.6147E-01      -1.0032E+03
       1.2500E-01      -8.5889E+00       8.4903E-01      -1.0032E+03
       1.3500E-01      -8.4647E+00       8.3849E-01      -1.0032E+03
       1.4500E-01      -8.3431E+00       8.3056E-01      -1.0032E+03
       1.5500E-01      -8.2272E+00       8.2512E-01      -1.0032E+03
       1.6500E-01      -8.1192E+00       8.2159E-01      -1.0032E+03
       1.7500E-01      -8.0202E+00       8.1934E-01      -1.0032E+03
       1.8500E-01      -7.9305E+00       8.1789E-01      -1.0032E+03
       1.9500E-01      -7.8504E+00       8.1695E-01      -1.0032E+03
       2.0500E-01      -7.7802E+00       8.1632E-01      -1.0032E+03
       2.1500E-01      -7.7204E+00       8.1589E-01      -1.0032E+03
       2.2500E-01      -7.6725E+00       8.1558E-01      -1.0032E+03
       2.3500E-01      -7.6390E+00       8.1506E-01      -1.0032E+03
       2.4500E-01      -7.6332E+00       8.0229E-01      -1.0032E+03
       2.5500E-01      -8.1681E+00       1.0318E-01      -1.0032E+03
       2.6500E-01      -8.2491E+00       9.6201E-03      -1.0032E+03
       2.7500E-01      -8.2675E+00       8.9172E-04      -1.0032E+03
       2.8500E-01      -8.2810E+00       1.1529E-04      -1.0032E+03
       2.9500E-01      -8.2950E+00       5.3861E-05      -1.0032E+03
       3.0500E-01      -8.3102E+00       5.8731E-05      -1.0032E+03
       3.1500E-01      -8.3266E+00       7.1729E-05      -1.0032E+03
       3.2500E-01      -8.3443E+00       8.7917E-05      -1.0032E+03
       3.3500E-01      -8.3633E+00       1.0727E-04      -1.0032E+03
       3.4500E-01      -8.3836E+00       1.3031E-04      -1.0032E+03
       3.5500E-01      -8.4053E+00       1.5768E-04      -1.0032E+03
       3.6500E-01      -8.4284E+00       1.9019E-04      -1.0032E+03
       3.7500E-01      -8.4529E+00       2.2877E-04      -1.0032E+03
       3.8500E-01      -8.4788E+00       2.7456E-04      -1.0032E+03
       3.9500E-01      -8.5063E+00       3.2888E-04      -1.0032E+03
       4.0500E-01      -8.5352E+00       3.9334E-04      -1.0032E+03
       4.1500E-01      -8.5655E+00       4.6985E-04      -1.0032E+03
       4.2500E-01      -8.5974E+00       5.6065E-04      -1.0032E+03
       4.3500E-01      -8.6307E+00       6.6842E-04      -1.0032E+03
       4.4500E-01      -8.6655E+00       7.9628E-04      -1.0032E+03
       4.5500E-01      -8.7017E+00       9.4788E-04      -1.0032E+03
       4.6500E-01      -8.7393E+00       1.1274E-03      -1.0032E+03
       4.7500E-01      -8.7783E+00       1.3397E-03      -1.0032E+03
       4.8500E-01      -8.8185E+00       1.5901E-03      -1.0032E+03
       4.9500E-01      -8.8600E+00       1.8846E-03      -1.0032E+03
       5.0500E-01      -8.9027E+00       2.2295E-03      -1.0032E+03
       5.1500E-01      -8.9464E+00       2.6314E-03      -1.0032E+03
       5.2500E-01      -8.9910E+00       3.0970E-03      -1.0032E+03
       5.3500E-01      -9.0365E+00       3.6326E-03      -1.0032E+03
       5.4500E-01      -9.0828E+00       4.2435E-03      -1.0032E+03
       5.5500E-01      -9.1296E+00       4.9339E-03      -1.0032E+03
       5.6500E-01      -9.1768E+00       5.7062E-03      -1.0032E+03
       5.7500E-01      -9.2243E+00       6.5601E-03      -1.0032E+03
       5.8500E-01      -9.2720E+00       7.4924E-03      -1.0032E+03
       5.9500E-01      -9.3196E+00       8.4968E-03      -1.0032E+03
       6.0500E-01      -9.3671E+00       9.5634E-03      -1.0032E+03
       6.1500E-01      -9.4142E+00       1.0679E-02      -1.0032E+03
       6.2500E-01      -9.4609E+00       1.1827E-02      -1.0032E+03
       6.3500E-01      -9.5071E+00       1.2988E-02      -1.0032E+03
       6.4500E-01      -9.5525E+00       1.4142E-02      -1.0032E+03
       6.5500E-01      -9.5972E+00       1.5267E-02      -1.0032E+03
       6.6500E-01      -9.6411E+00       1.6341E-02      -1.0032E+03
       6.7500E-01      -9.6840E+00       1.7343E-02      -1.0032E+03
       6.8500E-01      -9.7260E+00       1.8255E-02      -1.0032E+03
       6.9500E-01      -9.7669E+00       1.9060E-02      -1.0032E+03
       7.0500E-01      -9.8068E+00       1.9743E-02      -1.0032E+03
       7.1500E-01      -9.8457E+00       2.0296E-02      -1.0032E+03
       7.2500E-01      -9.8834E+00       2.0711E-02      -1.0032E+03
       7.3500E-01      -9.9200E+00       2.0984E-02      -1.0032E+03
       7.4500E-01      -9.9554E+00       2.1116E-02      -1.0032E+03
       7.5500E-01      -9.9898E+00       2.1109E-02      -1.0032E+03
       7.6500E-01      -1.0023E+01       2.0969E-02      -1.0032E+03
       7.7500E-01      -1.0055E+01       2.0703E-02      -1.0032E+03
       7.8500E-01      -1.0086E+01       2.0322E-02      -1.0032E+03
       7.9500E-01      -1.0116E+01       1.9836E-02      -1.0032E+03
       8.0500E-01      -1.0145E+01       1.9258E-02      -1.0032E+03
       8.1500E-01      -1.0172E+01       1.8600E-02      -1.0032E+03
       8.2500E-01      -1.0199E+01       1.7875E-02      -1.0032E+03
       8.3500E-01      -1.0224E+01       1.7096E-02      -1.0032E+03
       8.4500E-01      -1.0249E+01       1.6277E-02      -1.0032E+03
       8.5500E-01      -1.0272E+01       1.5428E-02      -1.0032E+03
       8.6500E-01      -1.0295E+01       1.4562E-02      -1.0032E+03
       8.7500E-01      -1.0316E+01       1.3689E-02      -1.0032E+03
       8.8500E-01      -1.0337E+01       1.2819E-02      -1.0032E+03
       8.9500E-01      -1.0356E+01       1.1960E-02      -1.0032E+03
       9.0500E-01      -1.0374E+01       1.1119E-02      -1.0032E+03
       9.1500E-01      -1.0392E+01       1.0304E-02      -1.0032E+03
       9.2500E-01      -1.0409E+01       9.5185E-03      -1.0032E+03
       9.3500E-01      -1.0425E+01       8.7674E-03      -1.0032E+03
       9.4500E-01      -1.0440E+01       8.0538E-03      -1.0032E+03
       9.5500E-01      -1.0454E+01       7.3798E-03      -1.0032E+03
       9.6500E-01      -1.0467E+01       6.7470E-03      -1.0032E+03
       9.7500E-01      -1.0480E+01       6.1560E-03      -1.0032E+03
       9.8500E-01      -1.0492E+01       5.6069E-03      -1.0032E+03
       9.9500E-01      -1.0503E+01       5.0991E-03      -1.0032E+03
       1.0050E+00      -1.0514E+01       4.6317E-03      -1.0032E+03
       1.0150E+00      -1.0524E+01       4.2033E-03      -1.0032E+03
       1.0250E+00      -1.0533E+01       3.8124E-03      -1.0032E+03
       1.0350E+00      -1.0542E+01       3.4570E-03      -1.0032E+03
       1.0450E+00      -1.0550E+01       3.1351E-03      -1.0032E+03
       1.0550E+00      -1.0558E+01       2.8448E-03      -1.0032E+03
       1.0650E+00      -1.0565E+01       2.5837E-03      -1.0032E+03
       1.0750E+00      -1.0572E+01       2.3498E-03      -1.0032E+03
       1.0850E+00      -1.0579E+01       2.1410E-03      -1.0032E+03
       1.0950E+00      -1.0585E+01       1.9552E-03      -1.0032E+03
       1.1050E+00      -1.0590E+01       1.7904E-03      -1.0032E+03
       1.1150E+00      -1.0595E+01       1.6447E-03      -1.0032E+03
       1.1250E+00      -1.0600E+01       1.5164E-03      -1.0032E+03
       1.1350E+00      -1.0605E+01       1.4037E-03      -1.0032E+03
       1.1450E+00      -1.0609E+01       1.3050E-03      -1.0032E+03
       1.1550E+00      -1.0613E+01       1.2190E-03      -1.0032E+03
       1.1650E+00      -1.0617E+01       1.1444E-03      -1.0032E+03
       1.1750E+00      -1.0620E+01       1.0798E-03      -1.0032E+03
       1.1850E+00      -1.0623E+01       1.0241E-03      -1.0032E+03
       1.1950E+00      -1.0626E+01       9.7643E-04      -1.0032E+03
       1.2050E+00      -1.0629E+01       9.3577E-04      -1.0032E+03
       1.2150E+00      -1.0632E+01       9.0131E-04      -1.0032E+03
       1.2250E+00      -1.0634E+01       8.7232E-04      -1.0032E+03
       1.2350E+00      -1.0637E+01       8.4811E-04      -1.0032E+03
       1.2450E+00      -1.0639E+01       8.2810E-04      -1.0032E+03
       1.2550E+00      -1.0641E+01       8.1175E-04      -1.0032E+03
