# Time          1.0000E+01
# Units: Mol/kgw
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       5.0000E-03       1.0880E-05       1.6197E-05       1.2001E-04       1.8023E-04       1.9996E-05       1.1516E-06       8.0022E-04       8.9399E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.5000E-02       7.9257E-06       1.6802E-05       1.2004E-04       1.8058E-04       1.9986E-05       2.5235E-06       8.0057E-04       1.4917E-06       1.0343E-03       2.0000E-04       2.0000E-04
       2.5000E-02       5.9141E-06       1.7388E-05       1.2006E-04       1.8088E-04       1.9972E-05       3.5812E-06       8.0087E-04       1.7751E-06       1.0343E-03       2.0000E-04       2.0000E-04
       3.5000E-02       4.7969E-06       1.7927E-05       1.2010E-04       1.8113E-04       1.9952E-05       4.3407E-06       8.0113E-04       1.7604E-06       1.0343E-03       2.0000E-04       2.0000E-04
       4.5000E-02       4.2074E-06       1.8424E-05       1.2017E-04       1.8136E-04       1.9928E-05       4.9242E-06       8.0138E-04       1.5698E-06       1.0343E-03       2.0000E-04       2.0000E-04
       5.5000E-02       3.8105E-06       1.8899E-05       1.2027E-04       1.8159E-04       1.9899E-05       5.4435E-06       8.0163E-04       1.3152E-06       1.0343E-03       2.0000E-04       2.0000E-04
       6.5000E-02       3.4254E-06       1.9371E-05       1.2040E-04       1.8182E-04       1.9864E-05       5.9587E-06       8.0190E-04       1.0567E-06       1.0343E-03       2.0000E-04       2.0000E-04
       7.5000E-02       2.9728E-06       1.9853E-05       1.2055E-04       1.8207E-04       1.9823E-05       6.4963E-06       8.0218E-04       8.2083E-07       1.0343E-03       2.0000E-04       2.0000E-04
       8.5000E-02       2.4202E-06       2.0361E-05       1.2071E-04       1.8233E-04       1.9775E-05       7.0670E-06       8.0245E-04       6.1853E-07       1.0343E-03       2.0000E-04       2.0000E-04
       9.5000E-02       1.7564E-06       2.0910E-05       1.2089E-04       1.8260E-04       1.9718E-05       7.6744E-06       8.0271E-04       4.5361E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.0500E-01       9.8236E-07       2.1517E-05       1.2108E-04       1.8289E-04       1.9652E-05       8.3182E-06       8.0296E-04       3.2594E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.1500E-01       1.0829E-07       2.2200E-05       1.2127E-04       1.8318E-04       1.9576E-05       8.9945E-06       8.0318E-04       2.3228E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.2500E-01      -8.4777E-07       2.2969E-05       1.2148E-04       1.8349E-04       1.9490E-05       9.6972E-06       8.0337E-04       1.6694E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.3500E-01      -1.8639E-06       2.3826E-05       1.2169E-04       1.8381E-04       1.9393E-05       1.0419E-05       8.0353E-04       1.2304E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.4500E-01      -2.9185E-06       2.4761E-05       1.2191E-04       1.8414E-04       1.9286E-05       1.1151E-05       8.0366E-04       9.4056E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.5500E-01      -3.9934E-06       2.5754E-05       1.2214E-04       1.8448E-04       1.9168E-05       1.1886E-05       8.0374E-04       7.4841E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.6500E-01      -5.0740E-06       2.6785E-05       1.2237E-04       1.8484E-04       1.9039E-05       1.2620E-05       8.0378E-04       6.1860E-08       1.0343E-03       2.0000E-04       2.0000E-04
       1.7500E-01      -6.1478E-06       2.7832E-05       1.2261E-04       1.8520E-04       1.8901E-05       1.3345E-05       8.0378E-04       5.2856E-08       1.0343E-03       2.0000E-04       2.0000E-04
