# Time          2.0000E+01
# Units: Mol/g solid
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       5.0000E-03       0.0000E+00       0.0000E+00       3.9553E-11       7.9819E-11       2.9577E-13       0.0000E+00       3.9205E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.5000E-02       0.0000E+00       0.0000E+00       3.9508E-11       7.9865E-11       2.9557E-13       0.0000E+00       3.9197E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.5000E-02       0.0000E+00       0.0000E+00       3.9467E-11       7.9906E-11       2.9537E-13       0.0000E+00       3.9191E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.5000E-02       0.0000E+00       0.0000E+00       3.9432E-11       7.9942E-11       2.9517E-13       0.0000E+00       3.9185E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       4.5000E-02       0.0000E+00       0.0000E+00       3.9403E-11       7.9971E-11       2.9497E-13       0.0000E+00       3.9179E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       5.5000E-02       0.0000E+00       0.0000E+00       3.9380E-11       7.9995E-11       2.9478E-13       0.0000E+00       3.9174E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       6.5000E-02       0.0000E+00       0.0000E+00       3.9363E-11       8.0012E-11       2.9458E-13       0.0000E+00       3.9168E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       7.5000E-02       0.0000E+00       0.0000E+00       3.9350E-11       8.0025E-11       2.9438E-13       0.0000E+00       3.9164E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       8.5000E-02       0.0000E+00       0.0000E+00       3.9342E-11       8.0033E-11       2.9417E-13       0.0000E+00       3.9159E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       9.5000E-02       0.0000E+00       0.0000E+00       3.9337E-11       8.0039E-11       2.9396E-13       0.0000E+00       3.9154E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.0500E-01       0.0000E+00       0.0000E+00       3.9334E-11       8.0042E-11       2.9375E-13       0.0000E+00       3.9150E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.1500E-01       0.0000E+00       0.0000E+00       3.9332E-11       8.0045E-11       2.9352E-13       0.0000E+00       3.9146E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.2500E-01       0.0000E+00       0.0000E+00       3.9331E-11       8.0046E-11       2.9329E-13       0.0000E+00       3.9141E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.3500E-01       0.0000E+00       0.0000E+00       3.9331E-11       8.0047E-11       2.9305E-13       0.0000E+00       3.9137E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.4500E-01       0.0000E+00       0.0000E+00       3.9331E-11       8.0047E-11       2.9280E-13       0.0000E+00       3.9133E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.5500E-01       0.0000E+00       0.0000E+00       3.9331E-11       8.0047E-11       2.9254E-13       0.0000E+00       3.9128E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.6500E-01       0.0000E+00       0.0000E+00       3.9331E-11       8.0048E-11       2.9227E-13       0.0000E+00       3.9124E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.7500E-01       0.0000E+00       0.0000E+00       3.9331E-11       8.0048E-11       2.9199E-13       0.0000E+00       3.9120E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.8500E-01       0.0000E+00       0.0000E+00       3.9331E-11       8.0048E-11       2.9170E-13       0.0000E+00       3.9116E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.9500E-01       0.0000E+00       0.0000E+00       3.9332E-11       8.0048E-11       2.9141E-13       0.0000E+00       3.9112E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.0500E-01       0.0000E+00       0.0000E+00       3.9332E-11       8.0047E-11       2.9111E-13       0.0000E+00       3.9108E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.1500E-01       0.0000E+00       0.0000E+00       3.9334E-11       8.0046E-11       2.9082E-13       0.0000E+00       3.9105E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.2500E-01       0.0000E+00       0.0000E+00       3.9337E-11       8.0044E-11       2.9055E-13       0.0000E+00       3.9102E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.3500E-01       0.0000E+00       0.0000E+00       3.9342E-11       8.0039E-11       2.9031E-13       0.0000E+00       3.9099E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.4500E-01       0.0000E+00       0.0000E+00       3.9351E-11       8.0030E-11       2.9013E-13       0.0000E+00       3.9098E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.5500E-01       0.0000E+00       0.0000E+00       1.8557E-05       3.7718E-05       1.3672E-07       0.0000E+00       1.8430E-06       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.6500E-01       0.0000E+00       0.0000E+00       1.8563E-05       3.7712E-05       1.3667E-07       0.0000E+00       1.8430E-06       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.7500E-01       0.0000E+00       0.0000E+00       1.8570E-05       3.7705E-05       1.3662E-07       0.0000E+00       1.8430E-06       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.8500E-01       0.0000E+00       0.0000E+00       1.8575E-05       3.7700E-05       1.3656E-07       0.0000E+00       1.8430E-06       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.9500E-01       0.0000E+00       0.0000E+00       1.8580E-05       3.7695E-05       1.3650E-07       0.0000E+00       1.8430E-06       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.0500E-01       0.0000E+00       0.0000E+00       1.8585E-05       3.7690E-05       1.3644E-07       0.0000E+00       1.8430E-06       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.1500E-01       0.0000E+00       0.0000E+00       1.8589E-05       3.7686E-05       1.3638E-07       0.0000E+00       1.8430E-06       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.2500E-01       0.0000E+00       0.0000E+00       1.8592E-05       3.7683E-05       1.3631E-07       0.0000E+00       1.8430E-06       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.3500E-01       0.0000E+00       0.0000E+00       1.8595E-05       3.7680E-05       1.3624E-07       0.0000E+00       1.8429E-06       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.4500E-01       0.0000E+00       0.0000E+00       1.8598E-05       3.7678E-05       1.3616E-07       0.0000E+00       1.8429E-06       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.5500E-01       0.0000E+00       0.0000E+00       1.8600E-05       3.7676E-05       1.3608E-07       0.0000E+00       1.8429E-06       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.6500E-01       0.0000E+00       0.0000E+00       1.8601E-05       3.7674E-05       1.3599E-07       0.0000E+00       1.8428E-06       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
