# Time          1.5000E+01
# Units: Weight % Component
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       5.0000E-03      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       1.5000E-02      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       2.5000E-02      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       3.5000E-02      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       4.5000E-02      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       5.5000E-02      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       6.5000E-02      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       7.5000E-02      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       8.5000E-02      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       9.5000E-02      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       1.0500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       1.1500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       1.2500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       1.3500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       1.4500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       1.5500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       1.6500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       1.7500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       1.8500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       1.9500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       2.0500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       2.1500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       2.2500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       2.3500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       2.4500E-01      -2.8888E-06       1.0000E+02       0.0000E+00       0.0000E+00       1.0608E-05       1.6280E-04       0.0000E+00       2.3338E-05       0.0000E+00       0.0000E+00       0.0000E+00
       2.5500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       2.6500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       2.7500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       2.8500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       2.9500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       3.0500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       3.1500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       3.2500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       3.3500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       3.4500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       3.5500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       3.6500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       3.7500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       3.8500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       3.9500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       4.0500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       4.1500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       4.2500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       4.3500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       4.4500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       4.5500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       4.6500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       4.7500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       4.8500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       4.9500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       5.0500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       5.1500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       5.2500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       5.3500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       5.4500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       5.5500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       5.6500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       5.7500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       5.8500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       5.9500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       6.0500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       6.1500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       6.2500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       6.3500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       6.4500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       6.5500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       6.6500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       6.7500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       6.8500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       6.9500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       7.0500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       7.1500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       7.2500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       7.3500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       7.4500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       7.5500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       7.6500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       7.7500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       7.8500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       7.9500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       8.0500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       8.1500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       8.2500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       8.3500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       8.4500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       8.5500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
       8.6500E-01      -1.2540E+00       0.0000E+00       0.0000E+00       0.0000E+00       4.6049E+00       7.0670E+01       0.0000E+00       1.0130E+01       0.0000E+00       0.0000E+00       0.0000E+00
