# Time          1.5000E+01
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       5.0000E-03       3.9386E-12       2.9737E-13       8.2633E-11       3.7638E-11
       1.5000E-02       3.9132E-12       2.9565E-13       8.7539E-11       3.2744E-11
       2.5000E-02       3.8851E-12       2.9371E-13       9.2930E-11       2.7368E-11
       3.5000E-02       3.8580E-12       2.9181E-13       9.8106E-11       2.2206E-11
       4.5000E-02       3.8343E-12       2.9015E-13       1.0259E-10       1.7736E-11
       5.5000E-02       3.8152E-12       2.8881E-13       1.0618E-10       1.4158E-11
       6.5000E-02       3.8006E-12       2.8779E-13       1.0889E-10       1.1451E-11
       7.5000E-02       3.7898E-12       2.8702E-13       1.1088E-10       9.4736E-12
       8.5000E-02       3.7819E-12       2.8641E-13       1.1231E-10       8.0394E-12
       9.5000E-02       3.7760E-12       2.8588E-13       1.1338E-10       6.9782E-12
       1.0500E-01       3.7713E-12       2.8537E-13       1.1420E-10       6.1587E-12
       1.1500E-01       3.7673E-12       2.8483E-13       1.1487E-10       5.4926E-12
       1.2500E-01       3.7638E-12       2.8422E-13       1.1544E-10       4.9259E-12
       1.3500E-01       3.7606E-12       2.8352E-13       1.1594E-10       4.4287E-12
       1.4500E-01       3.7576E-12       2.8270E-13       1.1638E-10       3.9849E-12
       1.5500E-01       3.7547E-12       2.8175E-13       1.1678E-10       3.5857E-12
       1.6500E-01       3.7520E-12       2.8067E-13       1.1715E-10       3.2259E-12
       1.7500E-01       3.7493E-12       2.7943E-13       1.1747E-10       2.9014E-12
       1.8500E-01       3.7466E-12       2.7805E-13       1.1777E-10       2.6086E-12
       1.9500E-01       3.7440E-12       2.7653E-13       1.1803E-10       2.3448E-12
       2.0500E-01       3.7415E-12       2.7490E-13       1.1827E-10       2.1080E-12
       2.1500E-01       3.7390E-12       2.7319E-13       1.1848E-10       1.8980E-12
       2.2500E-01       3.7367E-12       2.7148E-13       1.1867E-10       1.7171E-12
       2.3500E-01       3.7346E-12       2.6987E-13       1.1881E-10       1.5705E-12
       2.4500E-01       3.7329E-12       2.6853E-13       1.1892E-10       1.4669E-12
       2.5500E-01       5.8204E-07       4.1747E-08       1.8555E-05       2.2141E-07
       2.6500E-01       5.8188E-07       4.1606E-08       1.8561E-05       2.1594E-07
       2.7500E-01       5.8172E-07       4.1458E-08       1.8564E-05       2.1267E-07
       2.8500E-01       5.8156E-07       4.1301E-08       1.8565E-05       2.1183E-07
       2.9500E-01       5.8142E-07       4.1137E-08       1.8563E-05       2.1361E-07
       3.0500E-01       5.8128E-07       4.0965E-08       1.8559E-05       2.1813E-07
       3.1500E-01       5.8114E-07       4.0785E-08       1.8552E-05       2.2543E-07
       3.2500E-01       5.8102E-07       4.0596E-08       1.8542E-05       2.3548E-07
       3.3500E-01       5.8089E-07       4.0398E-08       1.8529E-05       2.4818E-07
       3.4500E-01       5.8078E-07       4.0192E-08       1.8514E-05       2.6340E-07
       3.5500E-01       5.8066E-07       3.9976E-08       1.8497E-05       2.8097E-07
       3.6500E-01       5.8055E-07       3.9751E-08       1.8477E-05       3.0069E-07
       3.7500E-01       5.8044E-07       3.9516E-08       1.8456E-05       3.2237E-07
       3.8500E-01       5.8032E-07       3.9271E-08       1.8433E-05       3.4585E-07
       3.9500E-01       5.8020E-07       3.9016E-08       1.8408E-05       3.7096E-07
       4.0500E-01       5.8008E-07       3.8750E-08       1.8381E-05       3.9757E-07
