# Time          1.0000E+01
# Units: Bars
    Distance        CO2(g)          
       5.0000E-03       4.6049E-04
       1.5000E-02       4.8040E-04
       2.5000E-02       4.9946E-04
       3.5000E-02       5.1768E-04
       4.5000E-02       5.3507E-04
       5.5000E-02       5.5161E-04
       6.5000E-02       5.6732E-04
       7.5000E-02       5.8219E-04
       8.5000E-02       5.9621E-04
       9.5000E-02       6.0940E-04
       1.0500E-01       6.2175E-04
       1.1500E-01       6.3326E-04
       1.2500E-01       6.4392E-04
       1.3500E-01       6.5375E-04
       1.4500E-01       6.6274E-04
       1.5500E-01       6.7089E-04
       1.6500E-01       6.7819E-04
       1.7500E-01       6.8466E-04
       1.8500E-01       6.9028E-04
       1.9500E-01       6.9507E-04
       2.0500E-01       6.9902E-04
       2.1500E-01       7.0212E-04
       2.2500E-01       7.0438E-04
       2.3500E-01       7.0581E-04
       2.4500E-01       7.0639E-04
       2.5500E-01       7.0613E-04
       2.6500E-01       7.0587E-04
       2.7500E-01       7.0561E-04
       2.8500E-01       7.0535E-04
       2.9500E-01       7.0509E-04
       3.0500E-01       7.0484E-04
       3.1500E-01       7.0458E-04
       3.2500E-01       7.0432E-04
       3.3500E-01       7.0406E-04
       3.4500E-01       7.0381E-04
       3.5500E-01       7.0355E-04
       3.6500E-01       7.0329E-04
       3.7500E-01       7.0304E-04
       3.8500E-01       7.0278E-04
       3.9500E-01       7.0252E-04
       4.0500E-01       7.0227E-04
       4.1500E-01       7.0201E-04
       4.2500E-01       7.0176E-04
       4.3500E-01       7.0150E-04
       4.4500E-01       7.0125E-04
       4.5500E-01       7.0099E-04
       4.6500E-01       7.0074E-04
       4.7500E-01       7.0048E-04
       4.8500E-01       7.0023E-04
       4.9500E-01       6.9997E-04
       5.0500E-01       6.9972E-04
       5.1500E-01       6.9947E-04
       5.2500E-01       6.9921E-04
       5.3500E-01       6.9896E-04
       5.4500E-01       6.9871E-04
       5.5500E-01       6.9846E-04
       5.6500E-01       6.9820E-04
       5.7500E-01       6.9795E-04
       5.8500E-01       6.9770E-04
       5.9500E-01       6.9745E-04
       6.0500E-01       6.9720E-04
       6.1500E-01       6.9695E-04
       6.2500E-01       6.9670E-04
       6.3500E-01       6.9645E-04
       6.4500E-01       6.9620E-04
       6.5500E-01       6.9595E-04
       6.6500E-01       6.9570E-04
       6.7500E-01       6.9545E-04
       6.8500E-01       6.9520E-04
       6.9500E-01       6.9496E-04
       7.0500E-01       6.9471E-04
       7.1500E-01       6.9446E-04
       7.2500E-01       6.9421E-04
       7.3500E-01       6.9397E-04
       7.4500E-01       6.9372E-04
       7.5500E-01       6.9348E-04
       7.6500E-01       6.9323E-04
       7.7500E-01       6.9299E-04
       7.8500E-01       6.9274E-04
       7.9500E-01       6.9250E-04
       8.0500E-01       6.9226E-04
       8.1500E-01       6.9201E-04
       8.2500E-01       6.9177E-04
       8.3500E-01       6.9153E-04
       8.4500E-01       6.9129E-04
       8.5500E-01       6.9104E-04
       8.6500E-01       6.9080E-04
       8.7500E-01       6.9056E-04
       8.8500E-01       6.9032E-04
       8.9500E-01       6.9008E-04
       9.0500E-01       6.8984E-04
       9.1500E-01       6.8961E-04
       9.2500E-01       6.8937E-04
       9.3500E-01       6.8913E-04
       9.4500E-01       6.8889E-04
       9.5500E-01       6.8866E-04
       9.6500E-01       6.8842E-04
       9.7500E-01       6.8819E-04
       9.8500E-01       6.8795E-04
       9.9500E-01       6.8772E-04
       1.0050E+00       6.8748E-04
       1.0150E+00       6.8725E-04
       1.0250E+00       6.8702E-04
       1.0350E+00       6.8678E-04
       1.0450E+00       6.8655E-04
       1.0550E+00       6.8632E-04
       1.0650E+00       6.8609E-04
       1.0750E+00       6.8586E-04
       1.0850E+00       6.8563E-04
       1.0950E+00       6.8540E-04
       1.1050E+00       6.8517E-04
       1.1150E+00       6.8494E-04
       1.1250E+00       6.8472E-04
       1.1350E+00       6.8449E-04
       1.1450E+00       6.8426E-04
       1.1550E+00       6.8404E-04
       1.1650E+00       6.8381E-04
       1.1750E+00       6.8359E-04
       1.1850E+00       6.8337E-04
       1.1950E+00       6.8314E-04
       1.2050E+00       6.8292E-04
       1.2150E+00       6.8270E-04
       1.2250E+00       6.8248E-04
       1.2350E+00       6.8226E-04
       1.2450E+00       6.8204E-04
       1.2550E+00       6.8182E-04
