# Time          1.0000E+00
# Units: mol/m3
    Distance        CO2(g)          
       0.0000E+00       1.8154E-02
       5.0000E-03       1.7063E-02
       1.5000E-02       1.4836E-02
       2.5000E-02       1.2598E-02
       3.5000E-02       1.0376E-02
       4.5000E-02       8.2021E-03
       5.5000E-02       6.1022E-03
       6.5000E-02       4.0980E-03
       7.5000E-02       2.2288E-03
       8.5000E-02       6.2946E-04
       9.5000E-02       8.7124E-07
       1.0500E-01       5.0608E-07
       1.1500E-01       5.1246E-07
       1.2500E-01       5.2438E-07
       1.3500E-01       5.3583E-07
       1.4500E-01       5.4677E-07
       1.5500E-01       5.5733E-07
       1.6500E-01       5.6766E-07
       1.7500E-01       5.7790E-07
       1.8500E-01       5.8819E-07
       1.9500E-01       5.9861E-07
       2.0500E-01       6.0919E-07
       2.1500E-01       6.1985E-07
       2.2500E-01       6.3040E-07
       2.3500E-01       6.4045E-07
       2.4500E-01       6.4953E-07
       2.5500E-01       6.5998E-07
       2.6500E-01       6.7055E-07
       2.7500E-01       6.8122E-07
       2.8500E-01       6.9192E-07
       2.9500E-01       7.0261E-07
       3.0500E-01       7.1324E-07
       3.1500E-01       7.2373E-07
       3.2500E-01       7.3402E-07
       3.3500E-01       7.4404E-07
       3.4500E-01       7.5371E-07
       3.5500E-01       7.6297E-07
       3.6500E-01       7.7172E-07
       3.7500E-01       7.7990E-07
       3.8500E-01       7.8740E-07
       3.9500E-01       7.9414E-07
       4.0500E-01       8.0004E-07
       4.1500E-01       8.0501E-07
       4.2500E-01       8.0895E-07
       4.3500E-01       8.1180E-07
       4.4500E-01       8.1348E-07
       4.5500E-01       8.1393E-07
       4.6500E-01       8.1309E-07
       4.7500E-01       8.1092E-07
       4.8500E-01       8.0739E-07
       4.9500E-01       8.0251E-07
       5.0500E-01       7.9629E-07
       5.1500E-01       7.8875E-07
       5.2500E-01       7.7994E-07
       5.3500E-01       7.6995E-07
       5.4500E-01       7.5885E-07
       5.5500E-01       7.4676E-07
       5.6500E-01       7.3379E-07
       5.7500E-01       7.2009E-07
       5.8500E-01       7.0581E-07
       5.9500E-01       6.9110E-07
       6.0500E-01       6.7611E-07
       6.1500E-01       6.6103E-07
       6.2500E-01       6.4600E-07
       6.3500E-01       6.3119E-07
       6.4500E-01       6.1676E-07
       6.5500E-01       6.0285E-07
       6.6500E-01       5.8960E-07
       6.7500E-01       5.7716E-07
       6.8500E-01       5.6565E-07
       6.9500E-01       5.5520E-07
       7.0500E-01       5.4591E-07
       7.1500E-01       5.3791E-07
       7.2500E-01       5.3130E-07
       7.3500E-01       5.2620E-07
       7.4500E-01       5.2274E-07
       7.5500E-01       5.2103E-07
       7.6500E-01       5.2123E-07
       7.7500E-01       5.2350E-07
       7.8500E-01       5.2801E-07
       7.9500E-01       5.3498E-07
       8.0500E-01       5.4466E-07
       8.1500E-01       5.5735E-07
       8.2500E-01       5.7340E-07
       8.3500E-01       5.9325E-07
       8.4500E-01       6.1740E-07
       8.5500E-01       6.4646E-07
       8.6500E-01       6.8118E-07
       8.7500E-01       7.2246E-07
       8.8500E-01       7.7139E-07
       8.9500E-01       8.2929E-07
       9.0500E-01       8.9776E-07
       9.1500E-01       9.7876E-07
       9.2500E-01       1.0746E-06
       9.3500E-01       1.1883E-06
       9.4500E-01       1.3231E-06
       9.5500E-01       1.4832E-06
       9.6500E-01       1.6736E-06
       9.7500E-01       1.9001E-06
       9.8500E-01       2.1694E-06
       9.9500E-01       2.4892E-06
       1.0050E+00       2.8679E-06
       1.0150E+00       3.3148E-06
       1.0250E+00       3.8391E-06
       1.0350E+00       4.4498E-06
       1.0450E+00       5.1547E-06
       1.0550E+00       5.9596E-06
       1.0650E+00       6.8673E-06
       1.0750E+00       7.8772E-06
       1.0850E+00       8.9846E-06
       1.0950E+00       1.0181E-05
       1.1050E+00       1.1453E-05
       1.1150E+00       1.2786E-05
       1.1250E+00       1.4163E-05
       1.1350E+00       1.5566E-05
