# Time          1.5000E+01
    Distance         pH
  5.0000E-03    4.8815E+00
  1.5000E-02    4.8837E+00
  2.5000E-02    4.8858E+00
  3.5000E-02    4.8880E+00
  4.5000E-02    4.8903E+00
  5.5000E-02    4.8925E+00
  6.5000E-02    4.8948E+00
  7.5000E-02    4.8972E+00
  8.5000E-02    4.8995E+00
  9.5000E-02    4.9020E+00
  1.0500E-01    4.9044E+00
  1.1500E-01    4.9069E+00
  1.2500E-01    4.9094E+00
  1.3500E-01    4.9120E+00
  1.4500E-01    4.9146E+00
  1.5500E-01    4.9173E+00
  1.6500E-01    4.9200E+00
  1.7500E-01    4.9229E+00
  1.8500E-01    4.9259E+00
  1.9500E-01    4.9291E+00
  2.0500E-01    4.9326E+00
  2.1500E-01    4.9364E+00
  2.2500E-01    4.9409E+00
  2.3500E-01    4.9462E+00
  2.4500E-01    4.9529E+00
  2.5500E-01    4.9618E+00
  2.6500E-01    4.9702E+00
  2.7500E-01    4.9780E+00
  2.8500E-01    4.9853E+00
  2.9500E-01    4.9920E+00
  3.0500E-01    4.9980E+00
  3.1500E-01    5.0033E+00
  3.2500E-01    5.0079E+00
  3.3500E-01    5.0119E+00
  3.4500E-01    5.0153E+00
  3.5500E-01    5.0181E+00
  3.6500E-01    5.0204E+00
  3.7500E-01    5.0223E+00
  3.8500E-01    5.0238E+00
  3.9500E-01    5.0250E+00
  4.0500E-01    5.0259E+00
  4.1500E-01    5.0266E+00
  4.2500E-01    5.0271E+00
  4.3500E-01    5.0275E+00
  4.4500E-01    5.0277E+00
  4.5500E-01    5.0278E+00
  4.6500E-01    5.0279E+00
  4.7500E-01    5.0279E+00
  4.8500E-01    5.0278E+00
  4.9500E-01    5.0277E+00
  5.0500E-01    5.0276E+00
  5.1500E-01    5.0274E+00
  5.2500E-01    5.0272E+00
  5.3500E-01    5.0271E+00
  5.4500E-01    5.0268E+00
  5.5500E-01    5.0266E+00
  5.6500E-01    5.0264E+00
  5.7500E-01    5.0262E+00
  5.8500E-01    5.0260E+00
  5.9500E-01    5.0258E+00
  6.0500E-01    5.0256E+00
  6.1500E-01    5.0254E+00
  6.2500E-01    5.0252E+00
  6.3500E-01    5.0250E+00
  6.4500E-01    5.0248E+00
  6.5500E-01    5.0246E+00
  6.6500E-01    5.0244E+00
  6.7500E-01    5.0242E+00
  6.8500E-01    5.0240E+00
  6.9500E-01    5.0238E+00
  7.0500E-01    5.0237E+00
  7.1500E-01    5.0235E+00
  7.2500E-01    5.0234E+00
  7.3500E-01    5.0232E+00
  7.4500E-01    5.0231E+00
  7.5500E-01    5.0229E+00
  7.6500E-01    5.0228E+00
  7.7500E-01    5.0226E+00
  7.8500E-01    5.0225E+00
  7.9500E-01    5.0224E+00
  8.0500E-01    5.0223E+00
  8.1500E-01    5.0222E+00
  8.2500E-01    5.0221E+00
  8.3500E-01    5.0220E+00
  8.4500E-01    5.0219E+00
  8.5500E-01    5.0218E+00
  8.6500E-01    5.0217E+00
  8.7500E-01    5.0216E+00
  8.8500E-01    5.0216E+00
  8.9500E-01    5.0215E+00
  9.0500E-01    5.0214E+00
  9.1500E-01    5.0214E+00
  9.2500E-01    5.0213E+00
  9.3500E-01    5.0213E+00
  9.4500E-01    5.0212E+00
  9.5500E-01    5.0212E+00
  9.6500E-01    5.0212E+00
  9.7500E-01    5.0211E+00
  9.8500E-01    5.0211E+00
  9.9500E-01    5.0211E+00
  1.0050E+00    5.0211E+00
  1.0150E+00    5.0211E+00
  1.0250E+00    5.0211E+00
  1.0350E+00    5.0211E+00
  1.0450E+00    5.0211E+00
  1.0550E+00    5.0211E+00
  1.0650E+00    5.0211E+00
  1.0750E+00    5.0211E+00
  1.0850E+00    5.0211E+00
  1.0950E+00    5.0212E+00
  1.1050E+00    5.0212E+00
  1.1150E+00    5.0212E+00
  1.1250E+00    5.0213E+00
  1.1350E+00    5.0213E+00
  1.1450E+00    5.0214E+00
  1.1550E+00    5.0214E+00
  1.1650E+00    5.0215E+00
  1.1750E+00    5.0215E+00
  1.1850E+00    5.0216E+00
  1.1950E+00    5.0217E+00
  1.2050E+00    5.0218E+00
  1.2150E+00    5.0218E+00
  1.2250E+00    5.0219E+00
  1.2350E+00    5.0220E+00
  1.2450E+00    5.0221E+00
  1.2550E+00    5.0222E+00
  1.2650E+00    5.0223E+00
  1.2750E+00    5.0224E+00
  1.2850E+00    5.0225E+00
  1.2950E+00    5.0226E+00
  1.3050E+00    5.0227E+00
  1.3150E+00    5.0229E+00
  1.3250E+00    5.0230E+00
  1.3350E+00    5.0231E+00
  1.3450E+00    5.0233E+00
  1.3550E+00    5.0234E+00
  1.3650E+00    5.0235E+00
  1.3750E+00    5.0237E+00
  1.3850E+00    5.0238E+00
  1.3950E+00    5.0240E+00
  1.4050E+00    5.0241E+00
  1.4150E+00    5.0243E+00
  1.4250E+00    5.0245E+00
  1.4350E+00    5.0246E+00
  1.4450E+00    5.0248E+00
  1.4550E+00    5.0250E+00
  1.4650E+00    5.0252E+00
  1.4750E+00    5.0253E+00
  1.4850E+00    5.0255E+00
  1.4950E+00    5.0257E+00
  1.5050E+00    5.0259E+00
  1.5150E+00    5.0261E+00
  1.5250E+00    5.0263E+00
  1.5350E+00    5.0265E+00
  1.5450E+00    5.0267E+00
  1.5550E+00    5.0269E+00
  1.5650E+00    5.0272E+00
  1.5750E+00    5.0274E+00
  1.5850E+00    5.0276E+00
  1.5950E+00    5.0278E+00
  1.6050E+00    5.0281E+00
  1.6150E+00    5.0283E+00
  1.6250E+00    5.0285E+00
  1.6350E+00    5.0288E+00
  1.6450E+00    5.0290E+00
  1.6550E+00    5.0293E+00
  1.6650E+00    5.0295E+00
  1.6750E+00    5.0298E+00
  1.6850E+00    5.0300E+00
  1.6950E+00    5.0303E+00
  1.7050E+00    5.0305E+00
  1.7150E+00    5.0308E+00
  1.7250E+00    5.0311E+00
  1.7350E+00    5.0313E+00
  1.7450E+00    5.0316E+00
  1.7550E+00    5.0319E+00
  1.7650E+00    5.0322E+00
  1.7750E+00    5.0325E+00
  1.7850E+00    5.0327E+00
  1.7950E+00    5.0330E+00
  1.8050E+00    5.0333E+00
  1.8150E+00    5.0336E+00
  1.8250E+00    5.0339E+00
  1.8350E+00    5.0342E+00
  1.8450E+00    5.0345E+00
  1.8550E+00    5.0349E+00
  1.8650E+00    5.0352E+00
  1.8750E+00    5.0355E+00
  1.8850E+00    5.0358E+00
  1.8950E+00    5.0361E+00
  1.9050E+00    5.0364E+00
  1.9150E+00    5.0368E+00
  1.9250E+00    5.0371E+00
