# Time          4.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           Larnite          Kaolinite        K-Feldspar       Quartz           CO2_pump     
       5.0000E-03      -3.3184E+01      -4.3417E+00      -1.1543E+01      -2.6083E+00      -1.0033E+03
       1.5000E-02      -3.3044E+01      -4.0460E+00      -1.1169E+01      -2.4966E+00      -1.0033E+03
       2.5000E-02      -3.2921E+01      -3.8001E+00      -1.0866E+01      -2.4079E+00      -1.0033E+03
       3.5000E-02      -3.2809E+01      -3.5879E+00      -1.0610E+01      -2.3342E+00      -1.0033E+03
       4.5000E-02      -3.2704E+01      -3.4000E+00      -1.0388E+01      -2.2712E+00      -1.0033E+03
       5.5000E-02      -3.2606E+01      -3.2308E+00      -1.0190E+01      -2.2163E+00      -1.0033E+03
       6.5000E-02      -3.2513E+01      -3.0764E+00      -1.0013E+01      -2.1675E+00      -1.0032E+03
       7.5000E-02      -3.2427E+01      -2.9339E+00      -9.8513E+00      -2.1236E+00      -1.0032E+03
       8.5000E-02      -3.2347E+01      -2.8013E+00      -9.7026E+00      -2.0837E+00      -1.0032E+03
       9.5000E-02      -3.2273E+01      -2.6771E+00      -9.5647E+00      -2.0472E+00      -1.0032E+03
       1.0500E-01      -3.2206E+01      -2.5600E+00      -9.4360E+00      -2.0136E+00      -1.0032E+03
       1.1500E-01      -3.2143E+01      -2.4491E+00      -9.3151E+00      -1.9823E+00      -1.0032E+03
       1.2500E-01      -3.2086E+01      -2.3435E+00      -9.2010E+00      -1.9531E+00      -1.0032E+03
       1.3500E-01      -3.2033E+01      -2.2424E+00      -9.0927E+00      -1.9256E+00      -1.0032E+03
       1.4500E-01      -3.1984E+01      -2.1453E+00      -8.9893E+00      -1.8998E+00      -1.0032E+03
       1.5500E-01      -3.1939E+01      -2.0513E+00      -8.8903E+00      -1.8753E+00      -1.0032E+03
       1.6500E-01      -3.1896E+01      -1.9600E+00      -8.7947E+00      -1.8519E+00      -1.0032E+03
       1.7500E-01      -3.1855E+01      -1.8704E+00      -8.7018E+00      -1.8295E+00      -1.0032E+03
       1.8500E-01      -3.1815E+01      -1.7817E+00      -8.6107E+00      -1.8078E+00      -1.0032E+03
       1.9500E-01      -3.1776E+01      -1.6925E+00      -8.5202E+00      -1.7867E+00      -1.0032E+03
       2.0500E-01      -3.1737E+01      -1.6011E+00      -8.4288E+00      -1.7658E+00      -1.0032E+03
       2.1500E-01      -3.1697E+01      -1.5052E+00      -8.3344E+00      -1.7447E+00      -1.0032E+03
       2.2500E-01      -3.1654E+01      -1.4012E+00      -8.2341E+00      -1.7230E+00      -1.0031E+03
       2.3500E-01      -3.1607E+01      -1.2841E+00      -8.1237E+00      -1.6999E+00      -1.0031E+03
