# Time series at grid cell: 200   1   1
  Time(yrs)                  pH                     H+                     CO2(aq)                Mg++                   Ca++                  
  1.00000E-14                4.99980896002689E+00   5.38830889801243E-06   1.06987576227356E-04   1.12652160045155E-04   1.69087104399281E-04
  2.00000E-14                5.00059733728774E+00   5.38830889801217E-06   1.07002298800878E-04   1.12880376790992E-04   1.69566501287408E-04
  3.00000E-14                5.00059900205686E+00   5.38830889801192E-06   1.07002329657211E-04   1.12880853703664E-04   1.69567533114191E-04
  4.00000E-14                5.00059900560689E+00   5.38830889801164E-06   1.07002329723009E-04   1.12880854720648E-04   1.69567535314621E-04
  5.00000E-14                5.00059900561447E+00   5.38830889801140E-06   1.07002329723150E-04   1.12880854722824E-04   1.69567535319325E-04
  7.00000E-14                5.00059900561450E+00   5.38830889801089E-06   1.07002329723150E-04   1.12880854722830E-04   1.69567535319337E-04
  1.10000E-13                5.00059900561452E+00   5.38830889800986E-06   1.07002329723150E-04   1.12880854722816E-04   1.69567535319315E-04
  1.90000E-13                5.00059900561457E+00   5.38830889800777E-06   1.07002329723150E-04   1.12880854722823E-04   1.69567535319326E-04
  3.50000E-13                5.00059900561466E+00   5.38830889800360E-06   1.07002329723151E-04   1.12880854722830E-04   1.69567535319336E-04
  6.70000E-13                5.00059900561485E+00   5.38830889799527E-06   1.07002329723152E-04   1.12880854722833E-04   1.69567535319342E-04
  1.31000E-12                5.00059900561522E+00   5.38830889797866E-06   1.07002329723154E-04   1.12880854722853E-04   1.69567535319371E-04
  2.59000E-12                5.00059900561598E+00   5.38830889794542E-06   1.07002329723159E-04   1.12880854722851E-04   1.69567535319368E-04
  5.15000E-12                5.00059900561748E+00   5.38830889787891E-06   1.07002329723168E-04   1.12880854722830E-04   1.69567535319337E-04
  1.02700E-11                5.00059900562049E+00   5.38830889774590E-06   1.07002329723185E-04   1.12880854722830E-04   1.69567535319336E-04
  2.05100E-11                5.00059900562651E+00   5.38830889747988E-06   1.07002329723221E-04   1.12880854722814E-04   1.69567535319313E-04
  4.09900E-11                5.00059900563855E+00   5.38830889694782E-06   1.07002329723293E-04   1.12880854722805E-04   1.69567535319299E-04
  8.19500E-11                5.00059900566263E+00   5.38830889588369E-06   1.07002329723436E-04   1.12880854722822E-04   1.69567535319324E-04
  1.63870E-10                5.00059900571078E+00   5.38830889375545E-06   1.07002329723721E-04   1.12880854722839E-04   1.69567535319351E-04
  3.27710E-10                5.00059900580708E+00   5.38830888949898E-06   1.07002329724293E-04   1.12880854722868E-04   1.69567535319394E-04
  6.55390E-10                5.00059900599970E+00   5.38830888098603E-06   1.07002329725437E-04   1.12880854722918E-04   1.69567535319471E-04
  1.31075E-09                5.00059900638492E+00   5.38830886396011E-06   1.07002329727724E-04   1.12880854723043E-04   1.69567535319663E-04
  2.62147E-09                5.00059900715537E+00   5.38830882990827E-06   1.07002329732298E-04   1.12880854723286E-04   1.69567535320035E-04
  5.24291E-09                5.00059900869626E+00   5.38830876180460E-06   1.07002329741446E-04   1.12880854723795E-04   1.69567535320813E-04
  1.04858E-08                5.00059901177804E+00   5.38830862559727E-06   1.07002329759742E-04   1.12880854724796E-04   1.69567535322343E-04
  2.09715E-08                5.00059901794161E+00   5.38830835318259E-06   1.07002329796335E-04   1.12880854726801E-04   1.69567535325410E-04
  4.19431E-08                5.00059903026875E+00   5.38830780835324E-06   1.07002329869520E-04   1.12880854730822E-04   1.69567535331559E-04
  8.38861E-08                5.00059905492303E+00   5.38830671869454E-06   1.07002330015890E-04   1.12880854738833E-04   1.69567535343810E-04
  1.67772E-07                5.00059910423158E+00   5.38830453937718E-06   1.07002330308630E-04   1.12880854754882E-04   1.69567535368351E-04
  2.79279E-07                5.00059916977720E+00   5.38830164248113E-06   1.07002330697785E-04   1.12880854777025E-04   1.69567535402451E-04
  4.24203E-07                5.00059925496588E+00   5.38829787743364E-06   1.07002331203566E-04   1.12880854805897E-04   1.69567535446931E-04
  5.73027E-07                5.00059934244850E+00   5.38829401106690E-06   1.07002331722986E-04   1.12880854836445E-04   1.69567535494241E-04
  8.14652E-07                5.00059948447778E+00   5.38828773378112E-06   1.07002332566218E-04   1.12880854883469E-04   1.69567535566390E-04
  1.03893E-06                5.00059961631355E+00   5.38828190723932E-06   1.07002333348994E-04   1.12880854930170E-04   1.69567535638896E-04
  1.25753E-06                5.00059974481693E+00   5.38827622795164E-06   1.07002334111977E-04   1.12880854975361E-04   1.69567535708976E-04
  1.56537E-06                5.00059992576858E+00   5.38826823047085E-06   1.07002335186311E-04   1.12880855036153E-04   1.69567535802491E-04
  1.89728E-06                5.00060012087258E+00   5.38825960765513E-06   1.07002336344714E-04   1.12880855103815E-04   1.69567535907155E-04
  2.20583E-06                5.00060030224668E+00   5.38825159174476E-06   1.07002337421626E-04   1.12880855168034E-04   1.69567536006861E-04
  2.39225E-06                5.00060041183933E+00   5.38824674847961E-06   1.07002338072401E-04   1.12880855210021E-04   1.69567536072886E-04
  2.50031E-06                5.00060047536027E+00   5.38824394129471E-06   1.07002338449601E-04   1.12880855234581E-04   1.69567536111568E-04
  2.57726E-06                5.00060052059463E+00   5.38824194219700E-06   1.07002338718197E-04   1.12880855251359E-04   1.69567536137817E-04
