# Time          4.0000E+01
# Units: Mol/kgw
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       5.0000E-03       1.2980E-05       1.6255E-05       1.1822E-04       1.8179E-04       2.0012E-05       2.4315E-07       7.9999E-04       4.1864E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.5000E-02       1.2868E-05       1.6970E-05       1.1400E-04       1.8601E-04       2.0030E-05       3.1446E-07       7.9997E-04       4.4946E-07       1.0343E-03       2.0000E-04       2.0000E-04
       2.5000E-02       1.2755E-05       1.7655E-05       1.0850E-04       1.9154E-04       2.0048E-05       3.8577E-07       7.9994E-04       4.8027E-07       1.0343E-03       2.0000E-04       2.0000E-04
       3.5000E-02       1.2642E-05       1.8311E-05       1.0181E-04       1.9824E-04       2.0066E-05       4.5709E-07       7.9990E-04       5.1108E-07       1.0343E-03       2.0000E-04       2.0000E-04
       4.5000E-02       1.2530E-05       1.8937E-05       9.4171E-05       2.0590E-04       2.0083E-05       5.2840E-07       7.9986E-04       5.4189E-07       1.0343E-03       2.0000E-04       2.0000E-04
       5.5000E-02       1.2417E-05       1.9534E-05       8.5874E-05       2.1422E-04       2.0100E-05       5.9971E-07       7.9982E-04       5.7270E-07       1.0343E-03       2.0000E-04       2.0000E-04
       6.5000E-02       1.2304E-05       2.0102E-05       7.7261E-05       2.2286E-04       2.0116E-05       6.7103E-07       7.9978E-04       6.0352E-07       1.0343E-03       2.0000E-04       2.0000E-04
       7.5000E-02       1.2191E-05       2.0640E-05       6.8666E-05       2.3148E-04       2.0133E-05       7.4235E-07       7.9973E-04       6.3434E-07       1.0343E-03       2.0000E-04       2.0000E-04
       8.5000E-02       1.2079E-05       2.1149E-05       6.0384E-05       2.3979E-04       2.0150E-05       8.1368E-07       7.9969E-04       6.6517E-07       1.0343E-03       2.0000E-04       2.0000E-04
       9.5000E-02       1.1966E-05       2.1629E-05       5.2647E-05       2.4755E-04       2.0167E-05       8.8503E-07       7.9964E-04       6.9602E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.0500E-01       1.1853E-05       2.2079E-05       4.5612E-05       2.5460E-04       2.0184E-05       9.5641E-07       7.9961E-04       7.2690E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.1500E-01       1.1740E-05       2.2500E-05       3.9367E-05       2.6087E-04       2.0202E-05       1.0278E-06       7.9957E-04       7.5783E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.2500E-01       1.1627E-05       2.2891E-05       3.3932E-05       2.6632E-04       2.0219E-05       1.0994E-06       7.9954E-04       7.8884E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.3500E-01       1.1513E-05       2.3253E-05       2.9277E-05       2.7098E-04       2.0238E-05       1.1710E-06       7.9952E-04       8.1998E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.4500E-01       1.1399E-05       2.3586E-05       2.5337E-05       2.7494E-04       2.0256E-05       1.2429E-06       7.9950E-04       8.5134E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.5500E-01       1.1283E-05       2.3889E-05       2.2027E-05       2.7826E-04       2.0275E-05       1.3150E-06       7.9948E-04       8.8302E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.6500E-01       1.1167E-05       2.4163E-05       1.9254E-05       2.8104E-04       2.0294E-05       1.3877E-06       7.9947E-04       9.1521E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.7500E-01       1.1047E-05       2.4407E-05       1.6927E-05       2.8337E-04       2.0313E-05       1.4612E-06       7.9945E-04       9.4819E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.8500E-01       1.0925E-05       2.4622E-05       1.4967E-05       2.8534E-04       2.0333E-05       1.5359E-06       7.9944E-04       9.8241E-07       1.0343E-03       2.0000E-04       2.0000E-04
       1.9500E-01       1.0796E-05       2.4808E-05       1.3305E-05       2.8701E-04       2.0352E-05       1.6126E-06       7.9943E-04       1.0185E-06       1.0343E-03       2.0000E-04       2.0000E-04
       2.0500E-01       1.0658E-05       2.4964E-05       1.1890E-05       2.8842E-04       2.0372E-05       1.6921E-06       7.9943E-04       1.0576E-06       1.0343E-03       2.0000E-04       2.0000E-04
       2.1500E-01       1.0507E-05       2.5092E-05       1.0684E-05       2.8963E-04       2.0392E-05       1.7762E-06       7.9942E-04       1.1012E-06       1.0343E-03       2.0000E-04       2.0000E-04
       2.2500E-01       1.0336E-05       2.5192E-05       9.6690E-06       2.9065E-04       2.0412E-05       1.8673E-06       7.9941E-04       1.1517E-06       1.0343E-03       2.0000E-04       2.0000E-04
       2.3500E-01       1.0131E-05       2.5264E-05       8.8419E-06       2.9148E-04       2.0431E-05       1.9691E-06       7.9941E-04       1.2130E-06       1.0343E-03       2.0000E-04       2.0000E-04
       2.4500E-01       9.8778E-06       2.5310E-05       8.2251E-06       2.9210E-04       2.0451E-05       2.0874E-06       7.9941E-04       1.2908E-06       1.0343E-03       2.0000E-04       2.0000E-04
       2.5500E-01       9.5481E-06       2.5332E-05       7.8746E-06       2.9245E-04       2.0471E-05       2.2310E-06       7.9940E-04       1.3939E-06       1.0343E-03       2.0000E-04       2.0000E-04
       2.6500E-01       9.2372E-06       2.5352E-05       7.5461E-06       2.9278E-04       2.0492E-05       2.3684E-06       7.9940E-04       1.4909E-06       1.0343E-03       2.0000E-04       2.0000E-04
       2.7500E-01       8.9475E-06       2.5372E-05       7.2398E-06       2.9309E-04       2.0512E-05       2.4987E-06       7.9940E-04       1.5807E-06       1.0343E-03       2.0000E-04       2.0000E-04
