# Time          2.5000E+01
# Units: Mol/g solid
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       5.0000E-03       0.0000E+00       0.0000E+00       3.8626E-11       8.1641E-11       2.9778E-13       0.0000E+00       3.9437E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.5000E-02       0.0000E+00       0.0000E+00       3.5758E-11       8.4517E-11       2.9693E-13       0.0000E+00       3.9289E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.5000E-02       0.0000E+00       0.0000E+00       3.2268E-11       8.8017E-11       2.9582E-13       0.0000E+00       3.9108E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.5000E-02       0.0000E+00       0.0000E+00       2.8420E-11       9.1875E-11       2.9455E-13       0.0000E+00       3.8907E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       4.5000E-02       0.0000E+00       0.0000E+00       2.4507E-11       9.5799E-11       2.9324E-13       0.0000E+00       3.8702E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       5.5000E-02       0.0000E+00       0.0000E+00       2.0781E-11       9.9535E-11       2.9200E-13       0.0000E+00       3.8506E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       6.5000E-02       0.0000E+00       0.0000E+00       1.7422E-11       1.0290E-10       2.9090E-13       0.0000E+00       3.8328E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       7.5000E-02       0.0000E+00       0.0000E+00       1.4525E-11       1.0581E-10       2.8998E-13       0.0000E+00       3.8174E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       8.5000E-02       0.0000E+00       0.0000E+00       1.2116E-11       1.0822E-10       2.8926E-13       0.0000E+00       3.8045E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       9.5000E-02       0.0000E+00       0.0000E+00       1.0166E-11       1.1018E-10       2.8872E-13       0.0000E+00       3.7941E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.0500E-01       0.0000E+00       0.0000E+00       8.6131E-12       1.1174E-10       2.8834E-13       0.0000E+00       3.7857E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.1500E-01       0.0000E+00       0.0000E+00       7.3851E-12       1.1297E-10       2.8809E-13       0.0000E+00       3.7791E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.2500E-01       0.0000E+00       0.0000E+00       6.4095E-12       1.1395E-10       2.8795E-13       0.0000E+00       3.7739E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.3500E-01       0.0000E+00       0.0000E+00       5.6236E-12       1.1474E-10       2.8788E-13       0.0000E+00       3.7696E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.4500E-01       0.0000E+00       0.0000E+00       4.9772E-12       1.1538E-10       2.8787E-13       0.0000E+00       3.7661E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.5500E-01       0.0000E+00       0.0000E+00       4.4334E-12       1.1593E-10       2.8789E-13       0.0000E+00       3.7632E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.6500E-01       0.0000E+00       0.0000E+00       3.9661E-12       1.1640E-10       2.8794E-13       0.0000E+00       3.7606E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.7500E-01       0.0000E+00       0.0000E+00       3.5576E-12       1.1681E-10       2.8801E-13       0.0000E+00       3.7584E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.8500E-01       0.0000E+00       0.0000E+00       3.1965E-12       1.1717E-10       2.8810E-13       0.0000E+00       3.7564E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       1.9500E-01       0.0000E+00       0.0000E+00       2.8755E-12       1.1749E-10       2.8819E-13       0.0000E+00       3.7547E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.0500E-01       0.0000E+00       0.0000E+00       2.5903E-12       1.1778E-10       2.8830E-13       0.0000E+00       3.7531E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.1500E-01       0.0000E+00       0.0000E+00       2.3392E-12       1.1803E-10       2.8841E-13       0.0000E+00       3.7517E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.2500E-01       0.0000E+00       0.0000E+00       2.1228E-12       1.1825E-10       2.8854E-13       0.0000E+00       3.7505E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.3500E-01       0.0000E+00       0.0000E+00       1.9448E-12       1.1842E-10       2.8869E-13       0.0000E+00       3.7495E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.4500E-01       0.0000E+00       0.0000E+00       1.8130E-12       1.1856E-10       2.8887E-13       0.0000E+00       3.7488E-12       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.5500E-01       0.0000E+00       0.0000E+00       2.7164E-07       1.8502E-05       4.5087E-08       0.0000E+00       5.8461E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.6500E-01       0.0000E+00       0.0000E+00       2.6172E-07       1.8512E-05       4.5121E-08       0.0000E+00       5.8456E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.7500E-01       0.0000E+00       0.0000E+00       2.5312E-07       1.8520E-05       4.5155E-08       0.0000E+00       5.8451E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.8500E-01       0.0000E+00       0.0000E+00       2.4601E-07       1.8527E-05       4.5189E-08       0.0000E+00       5.8447E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       2.9500E-01       0.0000E+00       0.0000E+00       2.4054E-07       1.8533E-05       4.5224E-08       0.0000E+00       5.8443E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.0500E-01       0.0000E+00       0.0000E+00       2.3687E-07       1.8537E-05       4.5258E-08       0.0000E+00       5.8441E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.1500E-01       0.0000E+00       0.0000E+00       2.3514E-07       1.8538E-05       4.5294E-08       0.0000E+00       5.8440E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.2500E-01       0.0000E+00       0.0000E+00       2.3548E-07       1.8538E-05       4.5329E-08       0.0000E+00       5.8440E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.3500E-01       0.0000E+00       0.0000E+00       2.3800E-07       1.8535E-05       4.5365E-08       0.0000E+00       5.8441E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.4500E-01       0.0000E+00       0.0000E+00       2.4276E-07       1.8531E-05       4.5402E-08       0.0000E+00       5.8443E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.5500E-01       0.0000E+00       0.0000E+00       2.4980E-07       1.8524E-05       4.5438E-08       0.0000E+00       5.8446E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.6500E-01       0.0000E+00       0.0000E+00       2.5915E-07       1.8514E-05       4.5476E-08       0.0000E+00       5.8451E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.7500E-01       0.0000E+00       0.0000E+00       2.7077E-07       1.8503E-05       4.5513E-08       0.0000E+00       5.8456E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.8500E-01       0.0000E+00       0.0000E+00       2.8462E-07       1.8489E-05       4.5551E-08       0.0000E+00       5.8463E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       3.9500E-01       0.0000E+00       0.0000E+00       3.0063E-07       1.8473E-05       4.5589E-08       0.0000E+00       5.8471E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       4.0500E-01       0.0000E+00       0.0000E+00       3.1871E-07       1.8454E-05       4.5627E-08       0.0000E+00       5.8481E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
       4.1500E-01       0.0000E+00       0.0000E+00       3.3877E-07       1.8434E-05       4.5665E-08       0.0000E+00       5.8491E-07       0.0000E+00       0.0000E+00       0.0000E+00       0.0000E+00
